Name,Classification,Status,PhysicalStreetAddress,PhysicalUnitAddress,PhysicalAddressCity,PhysicalAddressZipCode
NEW ALDAYA LIFESCAPES,Assisted Living:Production Site,Active,7511 UNIVERSITY AVE ,,CEDAR FALLS,50613
ACAPULCO MEXICAN BAKERY,Bakery,Active,311 N CALHOUN ST ,,WEST LIBERTY,52776
CAKES BY KAY,Bakery,Active,2218 E 11TH ST ,,DAVENPORT,52803
DAILY BREAD BAKERY OF CEDAR RAPIDS,Bakery,Active,2811 WILEY BLVD ,STE A ,CEDAR RAPIDS,52404
DOROTHY JANE'S BAKERY,Bakery,Active,420 Main ST ,,Lake View,51450
DUTCH BAKERY LLC,Bakery,Active,221 CENTRAL AVE N E ,,ORANGE CITY,51041
FIRST AVENUE BAKERY,Bakery,Active,135 2ND ST NE ,,DYERSVILLE,52040
HAHN'S BAKERY,Bakery,Active,2510 J ST ,,MIDDLE AMANA,52307
JULES BAKERY INC,Bakery,Active,3201 ARMAR DR ,,MARION,52302
LA CENTRAL BAKERY,Bakery,Active,315 S 7TH AVE ,,DENISON,51442
LARITA'S CAKES 'N MORE,Bakery,Active,1911 1ST AVE N ,,FORT DODGE,50501
PANADERIA PAN DE VIDA,Bakery,Active,44 N MAIN ST ,,DENISON,51442
PEDRETTI'S BAKERY,Bakery,Active,101 N MAIN  ,,ELKADER,52043
PRESBYTERIAN PIE SERVICE,Bakery,Active,211 W 1ST ST ,,MONTICELLO,52310
ROJAS BAKERY ,Bakery,Active,606 Flindt ST ,,Storm Lake,50588
RUSTIC HEARTH BAKERY,Bakery,Active,3531 Mt Vernon RD SE ,,Cedar Rapids,52403
SHAUGHNESSY'S,Bakery,Active,346 9TH ST ,,SIBLEY,51249
STORM LAKE BAKERY,Bakery,Active,616 LAKE AVE ,,STORM LAKE,50588
SUAREZ BAKERY,Bakery,Active,708 14TH ST ,,SIOUX CITY,51105
SWEET CELEBRATIONS,Bakery,Active,301 SALINA ST ,,MC CAUSLAND,52758
THE KETTEL HOUSE LLC,Bakery,Active,945 6th AVE ,,Marion,52302
YODER'S BAKERY,Bakery,Active,2639 520TH ST SW ,,KALONA,52247
"JAVA HOUSE, THE-BAKERY/COMMISSARY",Bakery Fast Food:Commissary ,Active,150 STEVENS DR ,,IOWA CITY,52240
SCHMIDT'S BBQ & CATERING,Bakery Mobile Food Unit Mobile Food Unit:Push Cart,Active,302 2ND AVE NE ,,WEST BEND,50597
WALMART #5115,Bakery Produce:Supermarket/Grocery Store Deli:Supermarket/Grocery Store,Active,3101 W KIMBERLY RD ,,DAVENPORT,52806
AMBROSIA DONUTS,Bakery:Stand Alone,Active,106 State ST ,STE 101 ,Ankeny,50023
BETH'S CUSTOM CAKES & DESSERT CATERING,Bakery:Stand Alone,Active,1220 Iowa ST ,,Dubuque,52001
BOULEVARD BAKERY,Bakery:Stand Alone,Active,1212 FAIRBANK AMISH BLVD ,,HAZLETON,50641
BOUNTIFUL BAKERY,Bakery:Stand Alone,Active,303 Main ,A ,Fairfield,52556
BREAD GARDEN BAKERY & CAFÉ,Bakery:Stand Alone,Active,224 S CLINTON ST ,,IOWA CITY,52240
BREAD TREE BAKING ,Bakery:Stand Alone,Active,3633 IA HWY 146 ,,Grinnell,50112
CAKE FANTASIES BY ASHLEY,Bakery:Stand Alone,Active,501 S 2nd ST ,,Clinton,52732
CHRIS'S CUSTOM BAKERY,Bakery:Stand Alone,Active,602 NW 17TH ST ,,ANKENY,50023
COOKIES BY DESIGN,Bakery:Stand Alone,Active,2777 100TH ST ,,URBANDALE,50322
COOKIES BY DESIGN,Bakery:Stand Alone,Active,3382 MIDDLE RD ,,BETTENDORF,52722
"COUNTRY GIRL BAKERY, THE",Bakery:Stand Alone,Active,223 W Broadway ,,Eagle Grove,50533
COVERED IN FLOUR,Bakery:Stand Alone,Active,315 North 13th Street ,,Centerville,52544
COVERED IN FLOUR,Bakery:Stand Alone,Active,315 North 13th Street ,,Centerville,52544
CRANBERRY STONE BAKERY,Bakery:Stand Alone,Active,605 FRANKLIN ST ,,PELLA,50219
CREATIVE CAKES BY MINDY,Bakery:Stand Alone,Active,3006 18TH ST ,,Spirit Lake,51360
DUNKERS BY MATT,Bakery:Stand Alone,Active,119 N CHESTNUT ,,JEFFERSON,50129
EASTERN ALLAMAKEE - KEE HIGH SCHOOL,Bakery:Stand Alone,Active,569 CENTER ST ,,LANSING,52151
ECHO'S COOKIES SHOP,Bakery:Stand Alone,Active,272 Hickman ,,Waukee,50263
ECHO'S COOKIES SHOP,Bakery:Stand Alone,Active,1551 VALLEY WEST DR ,258 A ,WEST DES MOINES,50266
EILEEN'S COLOSSAL COOKIES,Bakery:Stand Alone,Active,1851 Madison AVE ,STE 702 ,Council Bluffs,51503
EILEEN'S COLOSSAL COOKIES,Bakery:Stand Alone,Active,7222 University  AVE ,,Windsor Heights,50324
EL CAFECITO BAKERY ,Bakery:Stand Alone,Active,1130 E 9TH ,STE G ,DES MOINES,50316
FANCY FAVORS,Bakery:Stand Alone,Active,937 GRATTON ,,Burlington,52601
FOX PRODUCE,Bakery:Stand Alone,Active,17800 150th ST ,,Randalia,52164
FROSTED N FILLED,Bakery:Stand Alone,Active,3359 Jackson ST ,,Dubuque,52001
GRANDMA SUGAR'S CUPCAKERY LLC,Bakery:Stand Alone,Active,1631  4th ST SW ,STE 115 ,Mason City,50401
GRIN CITY BAKERY,Bakery:Stand Alone,Active,934 Main ST ,,Grinnell,50112
HILLSIDE BAKERY,Bakery:Stand Alone,Active,26458 CEDAR AVE ,,MILTON,52570
HODGE GREENHOUSE,Bakery:Stand Alone,Active,2615 MONROE AVE ,,LOGAN,51546
HOUSE OF CAKES,Bakery:Stand Alone,Active,700 COURT ST ,,Sioux City,51105
HUMMINGBIRD CONFECTIONS,Bakery:Stand Alone,Active,410 Thomas ST ,,Callender,50523
ICED BAKERY,Bakery:Stand Alone,Active,361 7th  AVE ,,Marion,52302
ITTY BITTY BAKERY & JAMS,Bakery:Stand Alone,Active,805 Jefferson St ,,Burlington,52601
JAARSMA BAKERY INC,Bakery:Stand Alone,Active,727 FRANKLIN ,,PELLA,50219
JESS DESSERTS @ THE KITCHEN DSM,Bakery:Stand Alone,Active,111 S 11th ST ,,West Des Moines,50265
KAKERY,Bakery:Stand Alone,Active,110 W Main ST ,,New Hampton,50659
KELLY CAKES,Bakery:Stand Alone,Active,835 AVENUE G ,,Fort Madison,52627
KIM'S CONFECTIONS,Bakery:Stand Alone,Active,323 1/2 5th St ,,West Point,52656
KOPPES KREATIONS,Bakery:Stand Alone,Active,115 Taylor ST ,,Cascade,52033
KOUNTRY KORNER BAKERY,Bakery:Stand Alone,Active,21050 ICE AVE ,,BLOOMFIELD,52537
LA ROSE MARIE BAKERY,Bakery:Stand Alone,Active,620 4th ST ,,Sully,50251
LET THEM EAT CAKE,Bakery:Stand Alone,Active,405 MAPLE ST ,,WEST DES MOINES,50265
LUPITAS BAKERY ,Bakery:Stand Alone,Active,626 2ND  ST ,,Webster City,50595
MEL'S SWEET OCCASIONS,Bakery:Stand Alone,Active,300 Main ST ,#100 ,Ames,50010
"MI CASA CAKE SHOP, LLC",Bakery:Stand Alone,Active,3306 Indianola AVE ,,Des Moines,50315
NOTHING BUNDT CAKES,Bakery:Stand Alone,Active,1255 128th ST ,STE 300 ,Clive,50325
NOTHING BUNDT CAKES #390,Bakery:Stand Alone,Active,3020 B E 53RD ST ,,Davenport,52807
"OLIVIA'S BAKERY, INC.",Bakery:Stand Alone,Active,323 MAIN AVE ,,SIOUX CENTER,51250
PANADERIA EL BUEN GUSTO,Bakery:Stand Alone,Active,1434 Des Moines ST ,STE 3 - 4 ,Des Moines,50316
PELLA NURSERY COMPANY,Bakery:Stand Alone,Active,1809 VERMEER RD E ,,PELLA,50219
PIE EYED & FLAKEY,Bakery:Stand Alone,Active,110 N Washington  ST ,,Edgewood,52042
ROCKETS BAKERY,Bakery:Stand Alone,Active,331 E 4TH ST ,,Waterloo,50703
SCORNOVACCA'S BAKERY,Bakery:Stand Alone,Active,2920 SW 9TH  ST ,,Des Moines,50315
SILVIA  BAKERY,Bakery:Stand Alone,Active,32 S MAIN ,,DENISON,51442
STACY'S SWEETSTUFF,Bakery:Stand Alone,Active,210 1st AVE W ,,Newton,50208
STALLIE'S SWEETS,Bakery:Stand Alone,Active,105 S Main AVE ,,Huxley,50124
STAN'S PASTRY SHOP,Bakery:Stand Alone,Active,814 MAIN ST ,,Keokuk,52632
STARGAZER BAKERY,Bakery:Stand Alone,Active,805 Jefferson St ,,Burlington,52601
"SWEET DESIRES, INC.",Bakery:Stand Alone,Active,711 DAVIS ,,CORNING,50841
SWEET OAKS BAKESHOPPE,Bakery:Stand Alone,Active,601 1ST  AVE ,,Collins,50055
SWEET SUES HOMEMADE FUDGE LTD,Bakery:Stand Alone,Active,719 AVENUE F ,,Fort Madison,52627
SWEET TO EAT CAKES & BAKERY,Bakery:Stand Alone,Active,1802 N Ankeny BLVD ,STE 101 ,Ankeny,50023
SWEETHEART BAKERY,Bakery:Stand Alone,Active,245 MAIN AVE ,,Clinton,52732
THAT ONE CUPCAKE PLACE @HIAWATHA,Bakery:Stand Alone,Active,766 N CENTER POINT RD ,,HIAWATHA,52233
THE FLOUR BARN BAKERY ,Bakery:Stand Alone,Active,102 W Main St ,,Mediapolis,52637
TIP TOP CAKES,Bakery:Stand Alone,Active,708 5TH ST ,UNIT 7 ,Coralville,52241
VANDER PLOEG BAKERY,Bakery:Stand Alone,Active,711 FRANKLIN ST ,,PELLA,50219
VANDERMEER BAKERY,Bakery:Stand Alone,Active,33 CENTRAL AVE NW ,,LE MARS,51031
VILLAGE CAFE,Bakery:Stand Alone,Active,4228 MAIN ST ,,Elk Horn,51531
LA MONA BAKERY,Bakery:Stand Alone Bakery,Active,1534 E GRAND AVE ,STE A ,DES MOINES,50316
"SUGAR SHACK, THE",Bakery:Stand Alone Bakery,Active,700 JENNINGS ST ,,SIOUX CITY,51105
E & E CONFECTIONS,Bakery:Stand Alone Candy Store,Active,4345 160TH ST ,,ELMA,50628
SWEET SATISFACTION,Bakery:Stand Alone Candy Store,Active,1029 170TH ST ,,KEOTA,52248
FOX RIDGE FARM DBA WILSON'S ORCHARD,Bakery:Stand Alone Concession Stand:Seasonal,Active,4823 DINGLEBERRY RD NE ,,Iowa City,52240
CASEY'S GENERAL STORE #2526,Bakery:Stand Alone Convenience Store (FE),Active,308 WASHINGTON ,,WELLSBURG,50680
CASEY'S GENERAL STORE #1029,Bakery:Stand Alone Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1207 STATE ST ,,TAMA,52339
