"City","hosp.city","hosp.county","hospital_trauma_level","dist","dist.mi"
"Ackley","Iowa Falls","Hardin","LEVEL IV",17304.2926580304,10.752385633213
"Ackworth","Des Moines","Polk","LEVEL I",28256.1602851339,17.5575585725339
"Adair","Guthrie Center","Guthrie","LEVEL IV",23981.0193120378,14.9011099509403
"Adel","West Des Moines","Polk","LEVEL IV",18937.7940421503,11.767396021765
"Afton","Creston","Union","LEVEL IV",16461.4979946514,10.2286974704345
"Agency","Ottumwa","Wapello","LEVEL IV",8995.85258110276,5.5897619141724
"Ainsworth","Washington","Washington","LEVEL IV",11014.4480781756,6.84405861678403
"Akron","Hawarden","Sioux","LEVEL IV",20199.665550048,12.5514863824989
"Albert City","Pocahontas","Pocahontas","LEVEL IV",22624.1091583022,14.0579653318034
"Albia","Albia","Monroe","LEVEL IV",2054.4977081538,1.27660529541324
"Albion","Marshalltown","Marshall","LEVEL III",9803.65589301665,6.09170746589965
"Alburnett","Cedar Rapids","Linn","Not rated",18545.8074328662,11.5238269103675
"Alden","Iowa Falls","Hardin","LEVEL IV",9498.20426764722,5.90190868399222
"Alexander","Belmond","Wright","LEVEL IV",11924.119906664,7.4093023105237
"Algona","Algona","Kossuth","LEVEL IV",1614.27253439656,1.00306213897053
"Alleman","Des Moines","Polk","Not rated",20871.8728663732,12.9691765148512
"Allerton","Corydon","Wayne","LEVEL IV",7063.55822035094,4.38909023493769
"Allison","Waverly","Bremer","LEVEL IV",25803.1176520103,16.0333090185473
"Alta","Storm Lake","Buena Vista","LEVEL IV",7291.78472314676,4.53090356520643
"Alta Vista","New Hampton","Chickasaw","LEVEL IV",16838.494763964,10.4629523299791
"Alton","Orange City","Sioux","LEVEL IV",2868.76107617111,1.78256493866152
"Altoona","Des Moines","Polk","LEVEL IV",12323.3687026296,7.65738393412167
"Alvord","Rock Rapids","Lyon","LEVEL IV",13964.8255670227,8.67733762740645
"Amana","Marengo","Iowa","LEVEL IV",16435.2256473575,10.2123725957242
"Ames","Ames","Story","LEVEL III",2361.59571476129,1.46742709087694
"Anamosa","Anamosa","Jones","Not rated",961.815382048071,0.597644185758592
"Anderson","Shenandoah","Page","LEVEL IV",20177.8914605682,12.5379565947447
"Andover","Clinton","Clinton","LEVEL IV",14040.8580687248,8.72458201902159
"Andrew","Maquoketa","Jackson","LEVEL IV",11252.7370898132,6.99212449823433
"Anita","Atlantic","Cass","LEVEL IV",19397.8074080547,12.0532349869503
"Ankeny","Des Moines","Polk","Not rated",12362.9869034738,7.6820015351984
"Anthon","Ida Grove","Ida","LEVEL IV",33964.9208053005,21.1048168057104
"Aplington","Grundy Center","Grundy","LEVEL IV",26661.437208771,16.5666438998513
"Arcadia","Carroll","Carroll","LEVEL IV",15012.7284634327,9.32847409805163
"Archer","Primghar","O'brien","LEVEL IV",10322.9794477604,6.41440006243431
"Aredale","Hampton","Franklin","LEVEL IV",17967.7546217388,11.1646416570644
"Arion","Denison","Crawford","LEVEL IV",10969.7041161238,6.81625601633997
"Arispe","Creston","Union","LEVEL IV",19284.5420470478,11.9828551763162
"Arlington","Oelwein","Fayette","LEVEL IV",20672.5663308449,12.8453332135634
"Armstrong","Estherville","Emmet","LEVEL IV",28655.5138492617,17.8057052960296
"Arnolds Park","Spirit Lake","Dickinson","LEVEL IV",6082.10599532871,3.7792442844234
"Arthur","Ida Grove","Ida","LEVEL IV",9420.42242989178,5.85357730568429
"Asbury","Dubuque","Dubuque","LEVEL III",7478.37194838617,4.64684345594066
"Ashton","Sibley","Osceola","LEVEL IV",11612.9700249719,7.21596279738679
"Aspinwall","Manning","Carroll","LEVEL IV",4987.96728381613,3.09937821911211
"Atalissa","Muscatine","Muscatine","LEVEL IV",17963.6275781958,11.1620772318911
"Athelstan","Mount Ayr","Ringgold","Not rated",29512.2423848452,18.3380515629136
"Atkins","Cedar Rapids","Linn","LEVEL III",16555.7644280536,10.2872718984241
