"","year","county_name","dhs_service_area","judicial_district","abuse_type","occurances","County_FIPS","State_FIPS","lat","long"
"1",2017,"Kossuth","1-Western","3-Third JD","Allows Access by Registered Sex Offender",2,"109","19",43.20413,-94.2067199
"2",2017,"Polk","5-Des Moines","5-FifthJD","Dangerous Substance",229,"153","19",41.6855048,-93.5735335
"3",2017,"Polk","5-Des Moines","5-FifthJD","Presence of Illegal Drugs in Child's System (PID)",201,"153","19",41.6855048,-93.5735335
"4",2017,"Cherokee","1-Western","3-Third JD","Denial of Critical Care (Neglect)",34,"035","19",42.7356226,-95.6238055
"5",2017,"Jasper","4-Cedar Rapids","5-FifthJD","Dangerous Substance",26,"099","19",41.6860394,-93.053765
"6",2017,"Cerro Gordo","2-Northern","2-Second JD","Sexual Abuse",17,"033","19",43.0815577,-93.2608184
"7",2017,"Winneshiek","2-Northern","1-First JD","Sexual Abuse",5,"191","19",43.2906746,-91.8437074
"8",2017,"Guthrie","1-Western","5-FifthJD","Dangerous Substance",13,"077","19",41.6837548,-94.501055
"9",2017,"Allamakee","2-Northern","1-First JD","Dangerous Substance",10,"005","19",43.2842838,-91.3780923
"10",2017,"Pottawattamie","1-Western","4-FourthJD","Physical Abuse",38,"155","19",41.3366123,-95.5423935
"11",2017,"Butler","2-Northern","2-Second JD","Physical Abuse",6,"023","19",42.7315661,-92.7901934
"12",2017,"Crawford","1-Western","3-Third JD","Sexual Abuse",1,"047","19",42.0372125,-95.3819678
"13",2017,"Van Buren","4-Cedar Rapids","8-Eigth JD","Physical Abuse",7,"177","19",40.7532294,-91.9499871
"14",2017,"Hamilton","2-Northern","2-Second JD","Physical Abuse",5,"079","19",42.3837722,-93.7068085
"15",2017,"Buchanan","2-Northern","1-First JD","Sexual Abuse",10,"019","19",42.4707777,-91.8378392
"16",2017,"Iowa","4-Cedar Rapids","6-SixthJD","Dangerous Substance",5,"095","19",41.6863229,-92.065524
"17",2017,"Ringgold","5-Des Moines","5-FifthJD","Physical Abuse",1,"159","19",40.7352023,-94.2439719
"18",2017,"Mahaska","4-Cedar Rapids","8-Eigth JD","Dangerous Substance",14,"123","19",41.3352035,-92.6409094
"19",2017,"Madison","5-Des Moines","5-FifthJD","Sexual Abuse",2,"121","19",41.3307142,-94.0155619
"20",2017,"Muscatine","3-Eastern","7-Seventh JD","Physical Abuse",39,"139","19",41.4839221,-91.1127562
"21",2017,"Harrison","1-Western","4-FourthJD","Sexual Abuse",6,"085","19",41.6828528,-95.8169209
"22",2017,"Story","5-Des Moines","2-Second JD","Mental Injury",3,"169","19",42.0362415,-93.4650448
"23",2017,"Tama","4-Cedar Rapids","6-SixthJD","Sexual Abuse",8,"171","19",42.0798117,-92.5325425
"24",2017,"Guthrie","1-Western","5-FifthJD","Physical Abuse",3,"077","19",41.6837548,-94.501055
"25",2017,"Hancock","2-Northern","2-Second JD","Allows Access by Registered Sex Offender",2,"081","19",43.0818861,-93.7342723
"26",2017,"Page","1-Western","4-FourthJD","Denial of Critical Care (Neglect)",79,"145","19",40.7391444,-95.1501747
"27",2017,"Sioux","1-Western","3-Third JD","Dangerous Substance",18,"167","19",43.0826174,-96.1778827
"28",2017,"Ida","1-Western","3-Third JD","Physical Abuse",7,"093","19",42.3868747,-95.5134962
"29",2017,"Van Buren","4-Cedar Rapids","8-Eigth JD","Denial of Critical Care (Neglect)",18,"177","19",40.7532294,-91.9499871
"30",2017,"Howard","2-Northern","1-First JD","Denial of Critical Care (Neglect)",56,"089","19",43.3567673,-92.3171989
"31",2017,"OBrien","1-Western","3-Third JD","Dangerous Substance",27,"141","19",43.0837527,-95.6248784
"32",2017,"Woodbury","1-Western","3-Third JD","Sexual Abuse",65,"193","19",42.3897169,-96.0447673
"33",2017,"Lucas","5-Des Moines","5-FifthJD","Allows Access by Registered Sex Offender",2,"117","19",41.0293738,-93.3277207
"34",2017,"Jones","4-Cedar Rapids","6-SixthJD","Sexual Abuse",2,"105","19",42.1212397,-91.1314352
"35",2017,"Guthrie","1-Western","5-FifthJD","Denial of Critical Care (Neglect)",38,"077","19",41.6837548,-94.501055
"36",2017,"Montgomery","1-Western","4-FourthJD","Allows Access by Registered Sex Offender",5,"137","19",41.03014,-95.1563758
"37",2017,"Hamilton","2-Northern","2-Second JD","Denial of Critical Care (Neglect)",37,"079","19",42.3837722,-93.7068085
"38",2017,"Adair","5-Des Moines","5-FifthJD","Sexual Abuse",7,"001","19",41.3307464,-94.4709413
"39",2017,"Mahaska","4-Cedar Rapids","8-Eigth JD","Sexual Abuse",6,"123","19",41.3352035,-92.6409094
"40",2017,"Dubuque","3-Eastern","1-First JD","Allows Access by Registered Sex Offender",3,"061","19",42.468832,-90.8824564
"41",2017,"Appanoose","4-Cedar Rapids","8-Eigth JD","Presence of Illegal Drugs in Child's System (PID)",4,"007","19",40.7431635,-92.8686104
"42",2017,"Calhoun","2-Northern","2-Second JD","Denial of Critical Care (Neglect)",25,"025","19",42.3851848,-94.6404136
"43",2017,"Pottawattamie","1-Western","4-FourthJD","Dangerous Substance",129,"155","19",41.3366123,-95.5423935
"44",2017,"Pocahontas","2-Northern","2-Second JD","Dangerous Substance",8,"151","19",42.7341351,-94.6787466
"45",2017,"Jackson","3-Eastern","7-Seventh JD","Presence of Illegal Drugs in Child's System (PID)",12,"097","19",42.1717426,-90.5742294
"46",2017,"Boone","5-Des Moines","2-Second JD","Physical Abuse",13,"015","19",42.0365493,-93.931671
"47",2017,"Cass","1-Western","4-FourthJD","Sexual Abuse",20,"029","19",41.3314876,-94.9278266
"48",2017,"Sac","1-Western","2-Second JD","Denial of Critical Care (Neglect)",41,"161","19",42.3862604,-95.1053946
"49",2017,"Van Buren","4-Cedar Rapids","8-Eigth JD","Sexual Abuse",3,"177","19",40.7532294,-91.9499871
"50",2017,"Crawford","1-Western","3-Third JD","Physical Abuse",6,"047","19",42.0372125,-95.3819678
"51",2017,"Lucas","5-Des Moines","5-FifthJD","Sexual Abuse",1,"117","19",41.0293738,-93.3277207
"52",2017,"Scott","3-Eastern","7-Seventh JD","Allows Access by Registered Sex Offender",5,"163","19",41.6370978,-90.6232428
"53",2017,"Audubon","1-Western","4-FourthJD","Allows Access by Registered Sex Offender",2,"009","19",41.6845893,-94.9058222
"54",2017,"Jefferson","4-Cedar Rapids","8-Eigth JD","Denial of Critical Care (Neglect)",109,"101","19",41.0317596,-91.9488774
"55",2017,"Floyd","2-Northern","2-Second JD","Sexual Abuse",6,"067","19",43.0599208,-92.7890033
"56",2017,"Butler","2-Northern","2-Second JD","Sexual Abuse",1,"023","19",42.7315661,-92.7901934
"57",2017,"Osceola","1-Western","3-Third JD","Denial of Critical Care (Neglect)",24,"143","19",43.3785704,-95.6236852
"58",2017,"Boone","5-Des Moines","2-Second JD","Denial of Critical Care (Neglect)",76,"015","19",42.0365493,-93.931671
"59",2017,"Greene","1-Western","2-Second JD","Dangerous Substance",2,"073","19",42.0362394,-94.3968356
"60",2017,"Greene","1-Western","2-Second JD","Presence of Illegal Drugs in Child's System (PID)",3,"073","19",42.0362394,-94.3968356
"61",2017,"Cedar","3-Eastern","7-Seventh JD","Mental Injury",1,"031","19",41.7723207,-91.1324125
"62",2017,"Fayette","2-Northern","1-First JD","Physical Abuse",7,"065","19",42.8625919,-91.8443207
"63",2017,"Audubon","1-Western","4-FourthJD","Presence of Illegal Drugs in Child's System (PID)",7,"009","19",41.6845893,-94.9058222
"64",2017,"Fremont","1-Western","4-FourthJD","Denial of Critical Care (Neglect)",28,"071","19",40.7455892,-95.6046765
"65",2017,"Crawford","1-Western","3-Third JD","Dangerous Substance",4,"047","19",42.0372125,-95.3819678
"66",2017,"Kossuth","1-Western","3-Third JD","Dangerous Substance",2,"109","19",43.20413,-94.2067199
"67",2017,"Decatur","5-Des Moines","5-FifthJD","Sexual Abuse",18,"053","19",40.7376827,-93.7862815
"68",2017,"Benton","4-Cedar Rapids","6-SixthJD","Sexual Abuse",14,"011","19",42.0801864,-92.0656912
"69",2017,"Polk","5-Des Moines","5-FifthJD","Denial of Critical Care (Neglect)",1665,"153","19",41.6855048,-93.5735335
"70",2017,"Wayne","5-Des Moines","5-FifthJD","Sexual Abuse",1,"185","19",40.7394702,-93.3273639
"71",2017,"Washington","4-Cedar Rapids","8-Eigth JD","Physical Abuse",7,"183","19",41.335591,-91.7178676
