"","year","county_name","dhs_service_area","judicial_district","disposition","reports","unique_children","duplicate_children","County_FIPS","State_FIPS","lat","long"
"1",2004,"Adair","6-Des Moines","5-FifthJD","Confirmed",10,13,15,"001","19",41.3307464,-94.4709413
"2",2004,"Adair","6-Des Moines","5-FifthJD","Founded",11,15,15,"001","19",41.3307464,-94.4709413
"3",2004,"Adair","6-Des Moines","5-FifthJD","Unconfirmed",16,21,24,"001","19",41.3307464,-94.4709413
"4",2004,"Adams","6-Des Moines","5-FifthJD","Confirmed",6,7,7,"003","19",41.0289839,-94.6991849
"5",2004,"Adams","6-Des Moines","5-FifthJD","Founded",6,9,9,"003","19",41.0289839,-94.6991849
"6",2004,"Adams","6-Des Moines","5-FifthJD","Unconfirmed",8,10,10,"003","19",41.0289839,-94.6991849
"7",2004,"Allamakee","3-Dubuque","1-First JD","Confirmed",10,13,13,"005","19",43.2842838,-91.3780923
"8",2004,"Allamakee","3-Dubuque","1-First JD","Founded",13,21,28,"005","19",43.2842838,-91.3780923
"9",2004,"Allamakee","3-Dubuque","1-First JD","Unconfirmed",40,44,59,"005","19",43.2842838,-91.3780923
"10",2004,"Appanoose","7-Cedar Rapids","8-Eigth JD","Confirmed",6,4,7,"007","19",40.7431635,-92.8686104
"11",2004,"Appanoose","7-Cedar Rapids","8-Eigth JD","Founded",80,114,138,"007","19",40.7431635,-92.8686104
"12",2004,"Appanoose","7-Cedar Rapids","8-Eigth JD","Unconfirmed",87,96,137,"007","19",40.7431635,-92.8686104
"13",2004,"Audubon","5-Council Bluffs","4-FourthJD","Confirmed",3,2,3,"009","19",41.6845893,-94.9058222
"14",2004,"Audubon","5-Council Bluffs","4-FourthJD","Founded",11,15,15,"009","19",41.6845893,-94.9058222
"15",2004,"Audubon","5-Council Bluffs","4-FourthJD","Unconfirmed",16,23,25,"009","19",41.6845893,-94.9058222
"16",2004,"Benton","7-Cedar Rapids","6-SixthJD","Confirmed",13,13,14,"011","19",42.0801864,-92.0656912
