"","fdid","fire_dept_name","County","dept_type","organization_type","number_stations","active_firefighters_career","active_firefighters_volunteer","active_firefighters_paid_per_call","non_firefighting_civilian","non_firefighting_volunteer","primary_agency_for_em","zip5","zip9","lat","long","Firefighters"
"1","F3060","185th Air Refueling Wing Fire Department","Woodbury","Career","Federal government (Department of Defense)",1,65,0,0,0,0,"FALSE",51111,51111,NA,NA,65
"2","42001","Ackley Fire Department","Hardin","Volunteer","Local (includes career, combination, and volunteer)",1,0,29,0,0,0,"TRUE",50601,50601,42.553991,-93.055998,29
"3","01001","Adair Volunteer Fire Department, Inc.","Adair","Volunteer","Local (includes career, combination, and volunteer)",1,0,26,0,0,0,"TRUE",50002,50002,41.500695,-94.643469,26
"4","25001","Adel Volunteer Fire Department","Dallas","Volunteer","Local (includes career, combination, and volunteer)",1,0,27,0,0,0,NA,50003,500031737,41.61697,-94.019961,27
"5","88001","Afton Volunteer Fire Department","Union","Volunteer","Local (includes career, combination, and volunteer)",1,0,30,0,0,0,NA,50830,508300047,41.028403,-94.198171,30
"6","90001","Agency Volunteer Fire & Rescue","Wapello","Volunteer","Local (includes career, combination, and volunteer)",1,0,16,0,0,3,NA,52530,52530,40.994913,-92.306773,16
"7","92001","Ainsworth Fire Department","Washington","Volunteer","Local (includes career, combination, and volunteer)",1,0,25,0,0,0,"TRUE",52201,52201,NA,NA,25
"8","75001","Akron Fire Department","Plymouth","Volunteer","Local (includes career, combination, and volunteer)",1,0,25,0,0,0,NA,51001,51001,42.823107,-96.560001,25
"9","64001","Albion Fire and Rescue","Marshall","Volunteer","Local (includes career, combination, and volunteer)",1,0,25,0,0,6,NA,50005,50005,42.11109,-92.99003,25
"10","57001","Alburnett Fire Department","Linn","Volunteer","Local (includes career, combination, and volunteer)",0,0,22,0,0,0,NA,52202,522029999,42.149132,-91.618512,22
"11","42002","Alden Fire Department","Hardin","Volunteer","Local (includes career, combination, and volunteer)",1,0,0,24,0,4,"TRUE",50006,50006,42.519692,-93.375047,24
"12","55001","Algona Fire Department","Kossuth","Volunteer","Local (includes career, combination, and volunteer)",1,0,0,26,0,0,"FALSE",50511,505112841,43.068896,-94.229008,26
"13","93001","Allerton Fire Department","Wayne","Volunteer","Local (includes career, combination, and volunteer)",1,0,28,0,0,8,"FALSE",50008,50008,40.704602,-93.364708,28
"14","19001","Alta Vista Fire Department","Chickasaw","Volunteer","Local (includes career, combination, and volunteer)",1,0,20,0,0,0,"TRUE",50603,506039716,43.198498,-92.41664,20
"15","11002","Alta Volunteer Fire Department","Buena Vista","Volunteer","Local (includes career, combination, and volunteer)",1,0,31,0,0,0,"TRUE",51002,51002,42.673562,-95.302309,31
"16","84001","Alton Fire and Rescue","Sioux","Volunteer","Local (includes career, combination, and volunteer)",1,0,18,0,0,2,"TRUE",51003,510035004,42.988333,-96.009715,18
"17","77002","Altoona Fire Department","Polk","Mostly volunteer","Local (includes career, combination, and volunteer)",1,8,0,23,1,0,"TRUE",50009,500092487,41.642861,-93.474194,31
"18","21090","Alvin Volunteer Fire and Rescue","Pottawattamie","Volunteer","Local (includes career, combination, and volunteer)",1,0,16,0,0,13,NA,51542,515429311,NA,NA,16
"19","48012","Amana Fire Department","Iowa","Volunteer","Local (includes career, combination, and volunteer)",3,0,22,0,0,0,NA,52307,523070174,NA,NA,22
"20","85001","Ames Fire Department","Story","Career","Local (includes career, combination, and volunteer)",3,55,0,0,14,0,"FALSE",50010,500105454,42.03488,-93.615535,55
"21","53001","Anamosa Fire Department","Jones","Volunteer","Local (includes career, combination, and volunteer)",1,0,32,0,0,0,"FALSE",52205,52205,42.10472,-91.278084,32
"22","23001","Andover Fire Department","Clinton","Volunteer","Local (includes career, combination, and volunteer)",1,0,20,0,0,0,NA,52701,52701,NA,NA,20
"23","49001","Andrew Volunteer Fire Department","Jackson","Volunteer","Local (includes career, combination, and volunteer)",1,0,25,0,0,2,"TRUE",52030,52030,42.153489,-90.592372,25
"24","15001","Anita Volunteer Fire Department","Cass","Volunteer","Local (includes career, combination, and volunteer)",1,0,30,0,0,0,"TRUE",50020,50020,41.445066,-94.76647,30
"25","77003","Ankeny Fire Department","Polk","Mostly career","Local (includes career, combination, and volunteer)",3,45,0,33,3,0,"TRUE",50023,500231554,41.733208,-93.608819,78
"26","97001","Anthon Community Fire Department","Woodbury","Volunteer","Local (includes career, combination, and volunteer)",1,0,21,0,0,4,NA,51004,510040703,42.389224,-95.866739,21
"27","12002","Aplington Fire Department","Butler","Volunteer","Local (includes career, combination, and volunteer)",1,0,22,0,0,0,"FALSE",50604,506041106,42.585094,-92.884575,22
"28","14001","Arcadia Fire Department","Carroll","Volunteer","Local (includes career, combination, and volunteer)",1,0,23,0,0,0,"FALSE",51430,51430,42.08753,-95.043847,23
"29","71001","Archer Volunteer Fire Department","Obrien","Volunteer","Local (includes career, combination, and volunteer)",1,0,18,0,0,0,NA,51231,51231,43.115073,-95.745918,18
"30","12003","Aredale Fire Department","Butler","Volunteer","Local (includes career, combination, and volunteer)",1,0,19,0,0,6,NA,50605,50605,43.059306,-92.316797,19
"31","33001","Arlington Fire Department","Fayette","Volunteer","Local (includes career, combination, and volunteer)",1,0,18,0,0,0,NA,50606,50606,42.748534,-91.671008,18
"32","32001","Armstrong Fire Department","Emmet","Volunteer","Local (includes career, combination, and volunteer)",1,0,0,20,0,1,NA,50514,50514,43.398298,-94.482755,20
"33","30001","Arnolds Park/Okobodi Fire Department","Dickinson","Volunteer","Local (includes career, combination, and volunteer)",2,0,28,0,0,0,NA,51331,513310437,NA,NA,28
"34","47001","Arthur Community Fire Department","Ida","Volunteer","Local (includes career, combination, and volunteer)",1,0,13,0,0,0,NA,51431,514310041,42.335142,-95.34748,13
"35","31001","Asbury Community Fire Department","Dubuque","Volunteer","Local (includes career, combination, and volunteer)",1,0,29,0,0,6,"TRUE",52002,520022501,42.508355,-90.755542,29
"36","72001","Ashton Fire Department","Iowa","Volunteer","Local (includes career, combination, and volunteer)",1,0,18,0,0,0,"TRUE",51232,51232,43.311094,-95.790495,18
"37","70001","Atalissa Community Fire Department, Inc","Muscatine","Volunteer","Local (includes career, combination, and volunteer)",1,0,16,0,0,4,"TRUE",52720,52720,41.570952,-91.16517,16
"38","06001","Atkins Volunteer Fire Department","Benton","Volunteer","Local (includes career, combination, and volunteer)",1,0,26,0,0,0,"TRUE",52206,52206,41.997006,-91.859666,26
"39","15002","Atlantic Fire Department","Iowa","Mostly volunteer","Local (includes career, combination, and volunteer)",1,3,35,0,0,0,"FALSE",50022,500222074,41.398538,-95.031216,38
"40","81001","Auburn Fire & Rescue","Sac","Volunteer","Local (includes career, combination, and volunteer)",1,0,26,0,0,4,"TRUE",51433,51433,42.249538,-94.877664,26
"41","05001","Audubon Fire & Rescue","Audubon","Volunteer","Local (includes career, combination, and volunteer)",1,0,40,0,0,0,"TRUE",50025,500251111,41.723071,-94.93626,40
"42","18001","Aurelia Fire Department","Cherokee","Volunteer","Local (includes career, combination, and volunteer)",1,0,0,20,0,0,NA,51005,510050727,42.711438,-95.435358,20
"43","10001","Aurora Fire Department","Buchanan","Volunteer","Local (includes career, combination, and volunteer)",1,0,18,0,0,0,"FALSE",50607,50607,42.618056,-91.728028,18
"44","78001","Avoca Volunteer Fire Department","Pottawattamie","Volunteer","Local (includes career, combination, and volunteer)",1,0,20,0,0,0,"TRUE",51521,51521,41.477568,-95.338887,20
"45","94001","Badger Fire Department","Webster","Volunteer","Local (includes career, combination, and volunteer)",1,0,25,0,0,0,"TRUE",50516,505160136,NA,NA,25
"46","39001","Bagley Fire Department","Iowa","Volunteer","Local (includes career, combination, and volunteer)",1,0,8,0,0,0,"FALSE",50026,50026,41.84894,-94.429531,8
"47","49002","Baldwin Volunteer Fire Department","Jackson","Volunteer","Local (includes career, combination, and volunteer)",1,0,10,0,0,0,NA,52207,522070062,NA,NA,10
"48","55002","Bancroft Community Fire Department","Kossuth","Volunteer","Local (includes career, combination, and volunteer)",1,0,18,0,0,0,"TRUE",50517,50517,43.293528,-94.217999,18
"49","62001","Barnes City Volunteer Fire Department","Mahaska","Volunteer","Local (includes career, combination, and volunteer)",1,0,20,0,0,0,NA,50027,500270074,NA,NA,20
"50","51001","Batavia Volunteer Fire Department","Jefferson","Volunteer","Local (includes career, combination, and volunteer)",1,0,19,0,0,0,NA,52533,525331110,40.99509,-92.167613,19
"51","47002","Battle Creek Hose Company #1","Iowa","Volunteer","Local (includes career, combination, and volunteer)",1,0,23,0,0,0,"TRUE",51006,51006,42.315978,-95.597685,23
"52","50001","Baxter Fire Department","Jasper","Volunteer","Local (includes career, combination, and volunteer)",1,0,18,0,0,0,NA,50028,50028,41.825024,-93.151447,18
"53","39002","Bayard Volunteer Fire Department","Guthrie","Volunteer","Local (includes career, combination, and volunteer)",1,0,20,0,0,0,NA,50029,50029,NA,NA,20
"54","87002","Bedford Volunteer Fire Department","Taylor","Volunteer","Local (includes career, combination, and volunteer)",1,0,30,0,0,0,"FALSE",50833,50833,40.667932,-94.717836,30
"55","06002","Belle Plaine Fire Department","Benton","Volunteer","Local (includes career, combination, and volunteer)",1,0,40,0,0,0,NA,52208,522081522,41.897051,-92.281012,40
"56","49003","Bellevue Fire Department","Jackson","Volunteer","Local (includes career, combination, and volunteer)",1,0,40,0,0,0,"TRUE",52031,520311235,42.258236,-90.425448,40
"57","99001","Belmond Volunteer Fire Department","Wright","Volunteer","Local (includes career, combination, and volunteer)",1,0,30,0,0,0,"FALSE",50421,50421,42.846619,-93.614188,30
"58","","Benefited Fire District NO 3","Webster","Volunteer","Local (includes career, combination, and volunteer)",1,0,20,0,0,0,NA,50544,50544,42.244343,-94.203779,20
"59","16001","Bennett Fire Department","Cedar","Volunteer","Local (includes career, combination, and volunteer)",1,0,27,0,0,0,"TRUE",52721,527210057,41.738814,-90.973951,27
"60","31004","Bernard Community Fire Association","Dubuque","Volunteer","Local (includes career, combination, and volunteer)",1,0,23,0,0,5,"TRUE",52032,52032,42.31402,-90.831366,23
"61","82001","Bettendorf Fire Rescue and EMS","Scott","Mostly volunteer","Local (includes career, combination, and volunteer)",4,27,38,0,1,1,"TRUE",52722,527224937,41.525222,-90.50966,65
"62","89001","Birmingham Fire Department","Van Buren","Volunteer","Local (includes career, combination, and volunteer)",1,0,25,0,0,0,NA,52535,52535,40.878981,-91.948069,25
"63","40001","Blairsburg Fire Department","Clinton","Volunteer","Local (includes career, combination, and volunteer)",1,0,14,0,0,0,NA,50034,50034,42.48341,-93.643305,14
"64","06003","Blairstown Volunteer Fire Department","Benton","Volunteer","Local (includes career, combination, and volunteer)",1,0,20,0,0,0,"TRUE",52209,52209,41.909474,-92.086096,20
"65","90002","Blakesburg Fire and Rescue","Wapello","Volunteer","Local (includes career, combination, and volunteer)",1,0,20,0,0,2,NA,52536,52536,NA,NA,20
"66","73001","Blanchard Volunteer Fire Department","Page","Volunteer","Local (includes career, combination, and volunteer)",1,0,15,0,0,4,NA,51630,51630,40.579262,-95.222318,15
"67","67001","Blencoe Fire Department","Monona","Volunteer","Local (includes career, combination, and volunteer)",1,0,16,0,0,0,"TRUE",51523,51523,41.930377,-96.080853,16
"68","87003","Blockton Volunteer Fire Department","Taylor","Volunteer","Local (includes career, combination, and volunteer)",1,0,16,0,0,0,NA,50836,50836,40.616291,-94.479643,16
"69","26001","Bloomfield Volunteer Fire Department","Davis","Volunteer","Local (includes career, combination, and volunteer)",1,0,0,19,0,0,"FALSE",52537,52537,40.747657,-92.418988,19
"70","82002","Blue Grass Fire Department","Scott","Volunteer","Local (includes career, combination, and volunteer)",1,0,24,0,0,0,"TRUE",52726,527269706,41.509224,-90.776473,24
"71","46001","Bode Fire Department","Humboldt","Volunteer","Local (includes career, combination, and volunteer)",1,0,21,0,0,0,"FALSE",50519,50519,42.86794,-94.287508,21
"72","89002","Bonaparte Fire Department","Van Buren","Volunteer","Local (includes career, combination, and volunteer)",1,0,14,0,0,0,NA,52620,526200293,NA,NA,14
"73","77005","Bondurant Emergency Services","Polk","Mostly volunteer","Local (includes career, combination, and volunteer)",1,5,0,25,1,3,"TRUE",50035,50035,41.701835,-93.463258,30
"74","08003","Boone Fire Department","Boone","Mostly career","Local (includes career, combination, and volunteer)",1,10,0,3,0,0,"FALSE",50036,50036,42.063814,-93.878581,13
"75","25002","Bouton Fire Department","Dallas","Volunteer","Local (includes career, combination, and volunteer)",1,0,20,0,0,0,NA,50039,50039,NA,NA,20
"76","08004","Boxholm Volunteer Fire Department","Boone","Volunteer","Local (includes career, combination, and volunteer)",1,0,12,0,0,0,"FALSE",50040,50040,42.176281,-94.104795,12
"77","84002","Boyden Area Fire Department","Sioux","Volunteer","Local (includes career, combination, and volunteer)",1,0,0,15,0,2,"FALSE",51234,51234,43.189773,-96.005842,15
"78","73002","Braddyville Fire and Rescue","Page","Volunteer","Local (includes career, combination, and volunteer)",1,0,9,0,0,1,"TRUE",51631,51631,40.579316,-95.025396,9
"79","46002","Bradgate Fire Department","Humboldt","Volunteer","Local (includes career, combination, and volunteer)",1,0,19,0,0,0,NA,50520,505200196,NA,NA,19
"80","10002","Brandon Volunteer Fire Department","Buchanan","Volunteer","Local (includes career, combination, and volunteer)",1,0,27,0,0,0,NA,52210,52210,42.313223,-92.003437,27
"81","05002","Brayton Volunteer Fire Department","Audubon","Volunteer","Local (includes career, combination, and volunteer)",1,0,16,0,0,0,NA,50042,50042,NA,NA,16
"82","01002","Bridgewater Fire Department","Adair","Volunteer","Local (includes career, combination, and volunteer)",1,0,0,0,0,0,NA,50837,50837,41.244527,-94.66887,0
"83","92002","Brighton Volunteer Fire Department","Washington","Volunteer","Local (includes career, combination, and volunteer)",1,0,22,0,0,0,"FALSE",52540,52540,41.17494,-91.82128,22
"84","41001","Britt Fire Department","Hancock","Volunteer","Local (includes career, combination, and volunteer)",1,0,26,0,0,1,"TRUE",50423,50423,43.095366,-93.801766,26
"85","97002","Bronson Fire Department","Woodbury","Volunteer","Local (includes career, combination, and volunteer)",1,0,22,0,0,0,NA,51007,51007,42.409937,-96.212212,22
"86","42003","Buckeye Fire Department","Hardin","Volunteer","Local (includes career, combination, and volunteer)",1,0,22,0,0,0,NA,50043,50043,42.417276,-93.374857,22
"87","95001","Buffalo Center Volunteer Fire Department","Winnebago","Volunteer","Local (includes career, combination, and volunteer)",1,0,20,0,0,0,NA,50424,50424,43.385838,-93.949545,20
"88","82003","Buffalo Fire Department","Scott","Volunteer","Local (includes career, combination, and volunteer)",1,0,25,0,0,0,"TRUE",52728,52728,41.45638,-90.71625,25
"89","29001","Burlington Fire Department","Des Moines","Career","Local (includes career, combination, and volunteer)",3,48,0,0,1,0,"FALSE",52601,526015515,40.809378,-91.104348,48
"90","55003","Burt Fire Department","Kossuth","Volunteer","Local (includes career, combination, and volunteer)",1,0,18,0,0,0,"TRUE",50522,50522,43.196325,-94.217587,18
"91","13004","Butler Township Fire Department","Calhoun","Volunteer","Local (includes career, combination, and volunteer)",1,0,16,0,0,0,"TRUE",50575,505757549,42.51132,-94.762078,16
"92","23002","Calamus Volunteer Fire Department, Inc.","Clinton","Volunteer","Local (includes career, combination, and volunteer)",1,0,30,0,0,0,NA,52729,52729,41.82546,-90.756358,30
"93","94003","Callender Community Fire Department","Webster","Volunteer","Local (includes career, combination, and volunteer)",1,0,15,0,0,0,NA,50523,50523,42.361776,-94.291435,15
"94","96001","Calmar Fire Department","Winneshiek","Volunteer","Local (includes career, combination, and volunteer)",1,0,22,0,0,0,"TRUE",52132,52132,43.182802,-91.868351,22
"95","71002","Calumet Volunteer Fire Department","Obrien","Volunteer","Local (includes career, combination, and volunteer)",1,0,11,0,0,0,NA,51009,51009,42.946346,-95.549932,11
"96","23003","Camanche Fire Department","Clinton","Mostly volunteer","Local (includes career, combination, and volunteer)",2,2,37,0,0,0,NA,52730,527300077,41.785774,-90.258198,39
"97","85002","Cambridge Fire & Rescue","Story","Volunteer","Local (includes career, combination, and volunteer)",1,0,20,0,0,0,"TRUE",50046,50046,41.899015,-93.52788,20
"98","77025","Camp Dodge Range Control","Polk","Volunteer","Federal government (Department of Defense)",1,0,10,0,1,0,"FALSE",50131,501311824,41.68846,-93.713938,10
"99","89003","Cantril Volunteer Fire Department","Van Buren","Volunteer","Local (includes career, combination, and volunteer)",1,0,21,0,0,0,NA,52542,52542,40.643484,-92.070026,21
"100","91002","Carlisle Fire Department","Warren","Mostly volunteer","Local (includes career, combination, and volunteer)",1,3,0,29,1,0,"TRUE",50047,500470430,41.499083,-93.487754,32
"101","14003","Carroll Fire Department","Carroll","Mostly volunteer","Local (includes career, combination, and volunteer)",1,1,0,34,0,0,"FALSE",51401,51401,42.066345,-94.847117,35
"102","78002","Carson Volunteer Fire Department","Pottawattamie","Volunteer","Local (includes career, combination, and volunteer)",1,0,18,0,0,0,"FALSE",51525,515250446,41.236433,-95.422177,18
"103","78003","Carter Lake Iowa Fire Department","Pottawattamie","Mostly volunteer","Local (includes career, combination, and volunteer)",1,1,0,26,1,6,"FALSE",51510,51510,41.285345,-95.917977,27
"104","31005","Cascade Fire Department","Dubuque","Volunteer","Local (includes career, combination, and volunteer)",1,0,30,0,0,2,"TRUE",52033,52033,42.302654,-91.002934,30
"105","39003","Casey Fire Department","Guthrie","Volunteer","Local (includes career, combination, and volunteer)",1,0,14,0,0,10,"TRUE",50048,50048,41.505962,-94.522906,14
"106","96002","Castalia Volunteer Firemen, Inc.","Winneshiek","Volunteer","Local (includes career, combination, and volunteer)",1,0,24,0,0,8,"FALSE",52133,52133,43.112294,-91.676982,24
"107","67002","Castana Fire and Rescue","Monona","Volunteer","Local (includes career, combination, and volunteer)",1,0,12,0,0,4,NA,51010,51010,42.074252,-95.908886,12
"108","07001","Cedar Falls Fire Rescue","Iowa","Mostly volunteer","Local (includes career, combination, and volunteer)",3,26,0,34,0,0,"TRUE",50613,506131289,42.496296,-92.445879,60
"109","57003","Cedar Rapids Fire Department","Linn","Career","Local (includes career, combination, and volunteer)",9,132,0,0,10,0,NA,52405,52405,41.977019,-91.67663,132
"110","53002","Center Junction Volunteer Fire Department","Jones","Volunteer","Local (includes career, combination, and volunteer)",1,0,19,0,0,6,NA,52212,52212,42.115785,-91.090645,19
"111","57006","Center Point Fire Department","Linn","Volunteer","Local (includes career, combination, and volunteer)",1,0,25,0,0,0,"TRUE",52213,522139646,42.194387,-91.783589,25
"112","04001","Centerville Fire Department","Appanoose","Mostly volunteer","Local (includes career, combination, and volunteer)",1,3,0,25,0,0,"FALSE",52544,525442238,40.732519,-92.871407,28
"113","57022","Central City Fire Department","Linn","Volunteer","Local (includes career, combination, and volunteer)",1,0,25,0,0,6,"TRUE",52214,52214,42.205666,-91.524495,25
"114","31006","Centralia-Peosta Fire Department","Dubuque","Volunteer","Local (includes career, combination, and volunteer)",1,0,40,0,0,3,NA,52068,52068,42.448211,-90.851194,40
"115","59001","Chariton Volunteer Fire Department","Lucas","Volunteer","Local (includes career, combination, and volunteer)",1,0,35,0,0,20,"TRUE",50049,50049,41.013852,-93.308424,35
"116","34001","Charles City Fire Department","Floyd","Mostly volunteer","Local (includes career, combination, and volunteer)",1,4,0,25,0,0,"FALSE",50616,506163731,43.060769,-92.673092,29
