"","fips","county","geo_name","year","lat","long","population"
"1",1900190,"Franklin","Ackley",2010,42.5518776,-93.0527656,40
"2",1900190,"Franklin","Ackley",2011,42.5518776,-93.0527656,38
"3",1900190,"Franklin","Ackley",2012,42.5518776,-93.0527656,38
"4",1900190,"Franklin","Ackley",2013,42.5518776,-93.0527656,38
"5",1900190,"Franklin","Ackley",2014,42.5518776,-93.0527656,37
"6",1900190,"Franklin","Ackley",2015,42.5518776,-93.0527656,37
"7",1900190,"Franklin","Ackley",2016,42.5518776,-93.0527656,37
"8",1900190,"Franklin","Ackley",2017,42.5518776,-93.0527656,37
"9",1900190,"Franklin","Ackley",2018,42.5518776,-93.0527656,36
"10",1900190,"Franklin","Ackley",2019,42.5518776,-93.0527656,40
"11",1900190,"Hardin","Ackley",2010,42.5518776,-93.0527656,1549
"12",1900190,"Hardin","Ackley",2011,42.5518776,-93.0527656,1533
"13",1900190,"Hardin","Ackley",2012,42.5518776,-93.0527656,1531
"14",1900190,"Hardin","Ackley",2013,42.5518776,-93.0527656,1520
"15",1900190,"Hardin","Ackley",2014,42.5518776,-93.0527656,1517
"16",1900190,"Hardin","Ackley",2015,42.5518776,-93.0527656,1506
"17",1900190,"Hardin","Ackley",2016,42.5518776,-93.0527656,1498
"18",1900190,"Hardin","Ackley",2017,42.5518776,-93.0527656,1481
"19",1900190,"Hardin","Ackley",2018,42.5518776,-93.0527656,1469
"20",1900190,"Hardin","Ackley",2019,42.5518776,-93.0527656,1458
"21",1900235,"Warren","Ackworth",2010,41.3663016,-93.4747827,83
"22",1900235,"Warren","Ackworth",2011,41.3663016,-93.4747827,104
"23",1900235,"Warren","Ackworth",2012,41.3663016,-93.4747827,105
"24",1900235,"Warren","Ackworth",2013,41.3663016,-93.4747827,105
"25",1900235,"Warren","Ackworth",2014,41.3663016,-93.4747827,104
"26",1900235,"Warren","Ackworth",2015,41.3663016,-93.4747827,107
"27",1900235,"Warren","Ackworth",2016,41.3663016,-93.4747827,108
"28",1900235,"Warren","Ackworth",2017,41.3663016,-93.4747827,107
"29",1900235,"Warren","Ackworth",2018,41.3663016,-93.4747827,108
"30",1900235,"Warren","Ackworth",2019,41.3663016,-93.4747827,105
"31",1900370,"Adair","Adair",2010,41.5003898,-94.6434132,762
"32",1900370,"Adair","Adair",2011,41.5003898,-94.6434132,748
"33",1900370,"Adair","Adair",2012,41.5003898,-94.6434132,735
"34",1900370,"Adair","Adair",2013,41.5003898,-94.6434132,727
"35",1900370,"Adair","Adair",2014,41.5003898,-94.6434132,724
"36",1900370,"Adair","Adair",2015,41.5003898,-94.6434132,701
"37",1900370,"Adair","Adair",2016,41.5003898,-94.6434132,681
"38",1900370,"Adair","Adair",2017,41.5003898,-94.6434132,684
"39",1900370,"Adair","Adair",2018,41.5003898,-94.6434132,688
"40",1900370,"Adair","Adair",2019,41.5003898,-94.6434132,695
"41",1900370,"Guthrie","Adair",2010,41.5003898,-94.6434132,19
"42",1900370,"Guthrie","Adair",2011,41.5003898,-94.6434132,19
"43",1900370,"Guthrie","Adair",2012,41.5003898,-94.6434132,19
"44",1900370,"Guthrie","Adair",2013,41.5003898,-94.6434132,19
"45",1900370,"Guthrie","Adair",2014,41.5003898,-94.6434132,19
"46",1900370,"Guthrie","Adair",2015,41.5003898,-94.6434132,18
"47",1900370,"Guthrie","Adair",2016,41.5003898,-94.6434132,18
"48",1900370,"Guthrie","Adair",2017,41.5003898,-94.6434132,18
"49",1900370,"Guthrie","Adair",2018,41.5003898,-94.6434132,18
"50",1900370,"Guthrie","Adair",2019,41.5003898,-94.6434132,18
"51",1900505,"Dallas","Adel",2010,41.6121709,-94.0135968,3682
"52",1900505,"Dallas","Adel",2011,41.6121709,-94.0135968,3823
"53",1900505,"Dallas","Adel",2012,41.6121709,-94.0135968,3892
"54",1900505,"Dallas","Adel",2013,41.6121709,-94.0135968,3984
"55",1900505,"Dallas","Adel",2014,41.6121709,-94.0135968,4050
"56",1900505,"Dallas","Adel",2015,41.6121709,-94.0135968,3988
"57",1900505,"Dallas","Adel",2016,41.6121709,-94.0135968,4209
"58",1900505,"Dallas","Adel",2017,41.6121709,-94.0135968,4390
"59",1900505,"Dallas","Adel",2018,41.6121709,-94.0135968,4954
"60",1900505,"Dallas","Adel",2019,41.6121709,-94.0135968,5455
"61",1900595,"Union","Afton",2010,41.0276183,-94.1953729,845
"62",1900595,"Union","Afton",2011,41.0276183,-94.1953729,846
"63",1900595,"Union","Afton",2012,41.0276183,-94.1953729,847
"64",1900595,"Union","Afton",2013,41.0276183,-94.1953729,847
"65",1900595,"Union","Afton",2014,41.0276183,-94.1953729,842
"66",1900595,"Union","Afton",2015,41.0276183,-94.1953729,827
"67",1900595,"Union","Afton",2016,41.0276183,-94.1953729,826
"68",1900595,"Union","Afton",2017,41.0276183,-94.1953729,831
"69",1900595,"Union","Afton",2018,41.0276183,-94.1953729,821
"70",1900595,"Union","Afton",2019,41.0276183,-94.1953729,815
"71",1900640,"Wapello","Agency",2010,40.997475,-92.3072288,638
"72",1900640,"Wapello","Agency",2011,40.997475,-92.3072288,636
"73",1900640,"Wapello","Agency",2012,40.997475,-92.3072288,636
"74",1900640,"Wapello","Agency",2013,40.997475,-92.3072288,640
"75",1900640,"Wapello","Agency",2014,40.997475,-92.3072288,640
"76",1900640,"Wapello","Agency",2015,40.997475,-92.3072288,645
"77",1900640,"Wapello","Agency",2016,40.997475,-92.3072288,641
"78",1900640,"Wapello","Agency",2017,40.997475,-92.3072288,638
"79",1900640,"Wapello","Agency",2018,40.997475,-92.3072288,646
"80",1900640,"Wapello","Agency",2019,40.997475,-92.3072288,643
"81",1900730,"Washington","Ainsworth",2010,41.2900827,-91.5545142,567
"82",1900730,"Washington","Ainsworth",2011,41.2900827,-91.5545142,568
"83",1900730,"Washington","Ainsworth",2012,41.2900827,-91.5545142,570
"84",1900730,"Washington","Ainsworth",2013,41.2900827,-91.5545142,571
"85",1900730,"Washington","Ainsworth",2014,41.2900827,-91.5545142,574
"86",1900730,"Washington","Ainsworth",2015,41.2900827,-91.5545142,577
"87",1900730,"Washington","Ainsworth",2016,41.2900827,-91.5545142,576
"88",1900730,"Washington","Ainsworth",2017,41.2900827,-91.5545142,580
"89",1900730,"Washington","Ainsworth",2018,41.2900827,-91.5545142,579
"90",1900730,"Washington","Ainsworth",2019,41.2900827,-91.5545142,579
"91",1900775,"Plymouth","Akron",2010,42.8266985,-96.5570105,1486
"92",1900775,"Plymouth","Akron",2011,42.8266985,-96.5570105,1502
"93",1900775,"Plymouth","Akron",2012,42.8266985,-96.5570105,1498
"94",1900775,"Plymouth","Akron",2013,42.8266985,-96.5570105,1496
"95",1900775,"Plymouth","Akron",2014,42.8266985,-96.5570105,1493
"96",1900775,"Plymouth","Akron",2015,42.8266985,-96.5570105,1483
"97",1900775,"Plymouth","Akron",2016,42.8266985,-96.5570105,1496
"98",1900775,"Plymouth","Akron",2017,42.8266985,-96.5570105,1483
"99",1900775,"Plymouth","Akron",2018,42.8266985,-96.5570105,1473
"100",1900775,"Plymouth","Akron",2019,42.8266985,-96.5570105,1463
"101",1900865,"Buena Vista","Albert City",2010,42.7816026,-94.949139,699
"102",1900865,"Buena Vista","Albert City",2011,42.7816026,-94.949139,698
"103",1900865,"Buena Vista","Albert City",2012,42.7816026,-94.949139,705
"104",1900865,"Buena Vista","Albert City",2013,42.7816026,-94.949139,712
"105",1900865,"Buena Vista","Albert City",2014,42.7816026,-94.949139,699
"106",1900865,"Buena Vista","Albert City",2015,42.7816026,-94.949139,689
"107",1900865,"Buena Vista","Albert City",2016,42.7816026,-94.949139,686
"108",1900865,"Buena Vista","Albert City",2017,42.7816026,-94.949139,680
"109",1900865,"Buena Vista","Albert City",2018,42.7816026,-94.949139,671
"110",1900865,"Buena Vista","Albert City",2019,42.7816026,-94.949139,665
"111",1900910,"Monroe","Albia",2010,41.0271155,-92.803847,3766
"112",1900910,"Monroe","Albia",2011,41.0271155,-92.803847,3815
"113",1900910,"Monroe","Albia",2012,41.0271155,-92.803847,3818
"114",1900910,"Monroe","Albia",2013,41.0271155,-92.803847,3773
"115",1900910,"Monroe","Albia",2014,41.0271155,-92.803847,3752
