"","year","county","county_FIPS","state_FIPS","othertxix_elig","othertxix_recip","othertxix_pmt","totaltxix_elig","totaltxix_recip","totaltxix_pmt","medneedy_elig","medneedy_pmt","medneedy_recip","avg_reimbursement_per_eligible_person"
"1",2011,"Adair","001","19",1001.5,930,614604.5,1009,938,615681.5,6,968,7,161.333333333333
"2",2011,"Adams","003","19",627,611,570317,632,616,571822.5,5,1955.5,6,391.1
"3",2011,"Allamakee","005","19",2313,2134,1391920.5,2324,2146,1393726,8.5,1705,10.5,200.588235294118
"4",2011,"Appanoose","007","19",2777.5,2576,1671722,2785,2585.5,1682207.5,9,3269,10.5,363.222222222222
"5",2011,"Audubon","009","19",687.5,641,422509.5,690,644,422727.5,3,100,2.5,33.3333333333333
"6",2011,"Benton","011","19",3094,2767.5,1648513.5,3121.5,2808.5,1666945.5,26,50652,44,1948.15384615385
"7",2011,"Black Hawk","013","19",23038.5,20095.5,12354323.5,23134,20200,12492923,89.5,111778.5,141,1248.9217877095
"8",2011,"Boone","015","19",3525,3326.5,6625714.5,3539,3339.5,6635859.5,15,3804,18,253.6
"9",2011,"Bremer","017","19",1934,1746.5,1283207,1940.5,1751.5,1287570,5.5,4961.5,8,902.090909090909
"10",2011,"Buchanan","019","19",2739,2419.5,1648222,2763,2460.5,1721354,26,41774.5,43.5,1606.71153846154
"11",2011,"Buena Vist","021","19",3536,3394,1619127,3557,3429,1665993,17.5,27518.5,39,1572.48571428571
"12",2011,"Butler","023","19",1950.5,1821,1176842,1961.5,1843,1225386.5,11,25803,25,2345.72727272727
"13",2011,"Calhoun","025","19",1308.5,1221,1014389,1314.5,1227,1015975.5,5,2023.5,5,404.7
"14",2011,"Carroll","027","19",2533,2464,2383595.5,2549,2509,2424023,14.5,73976.5,44.5,5101.8275862069
"15",2011,"Cass","029","19",2469.5,2350.5,1726941,2480.5,2362,1740377,11,16290.5,18,1480.95454545455
"16",2011,"Cedar","031","19",2018.5,1743,874230,2029,1753,882328,11,6358,13,578
"17",2011,"Cent. Off","","0",NA,NA,NA,NA,NA,NA,0,0,0,NA
"18",2011,"Cent. Off",NA,NA,NA,49.5,8406450.5,NA,49.5,8406450.5,0,0,0,NA
"19",2011,"Cerro Gord","033","19",7609,6726,4543151.5,7663,6799,4664550,52.5,88081.5,94.5,1677.74285714286
"20",2011,"Cherokee","035","19",1530.5,1451,977877,1540.5,1459.5,981720.5,9,3542,10,393.555555555556
"21",2011,"Chickasaw","037","19",1551.5,1423,924215.5,1557.5,1430.5,928523.5,7.5,2980,8,397.333333333333
"22",2011,"Clarke","039","19",1838.5,1726.5,1053519.5,1856.5,1748,1116015.5,17.5,25482.5,29,1456.14285714286
"23",2011,"Clay","041","19",2506,2310.5,1375503,2523,2341.5,1410248.5,17,53273,35.5,3133.70588235294
"24",2011,"Clayton","043","19",2157,1944.5,1521076,2170,1960.5,1525867,13,5473.5,13,421.038461538462
"25",2011,"Clinton","045","19",9801.5,8672,5227385.5,9845.5,8728,5277036.5,42.5,72524,70.5,1706.44705882353
"26",2011,"Crawford","047","19",2822,2789.5,1480606,2836.5,2806,1492558,14,11012,16,786.571428571429
"27",2011,"Dallas","049","19",5249.5,4942.5,2929688,5285,4981.5,2978804,35.5,33323,55,938.676056338028
"28",2011,"Davis","051","19",1168,1076.5,685128.5,1173,1082,689093,6.5,3867,6,594.923076923077
"29",2011,"Decatur","053","19",1770,1623.5,914062,1779,1632,915599.5,8,2474.5,9,309.3125
"30",2011,"Delaware","055","19",2048.5,1853.5,1258784,2071,1877,1272984,23,12348,26,536.869565217391
"31",2011,"Des Moines","057","19",8859.5,7586,4000150,8908,7646,4065394.5,39,89724,72,2300.61538461538
"32",2011,"Dickinson","059","19",1809.5,1625,1025015,1824,1648.5,1037835,10,20244,23.5,2024.4
"33",2011,"Dubuque","061","19",13276,11748,7358412,13458,11943,7424312,181,61943.5,214.5,342.229281767956
"34",2011,"Emmet","063","19",1468,1411,901663,1477,1420,919905.5,8,4859,9.5,607.375
"35",2011,"Fayette","065","19",3807.5,3422.5,2347645,3841.5,3470,2405595,36,34221,60,950.583333333333
"36",2011,"Floyd","067","19",2733,2506,1609318.5,2744,2542,1672736.5,12,42901,37,3575.08333333333
"37",2011,"Franklin","069","19",1675.5,1579,901485,1681.5,1586,902254,5.5,718.5,6,130.636363636364
"38",2011,"Fremont","071","19",1026.5,1043.5,738711.5,1033,1049.5,739285.5,7,848,7,121.142857142857
"39",2011,"Greene","073","19",1530,1431,897910,1538,1434.5,901053.5,6.5,5538.5,8,852.076923076923
"40",2011,"Grundy","075","19",1082.5,977.5,589357,1086.5,981,590877,4,1361.5,4,340.375
"41",2011,"Guthrie","077","19",1329,1257,757934,1336,1264,762325.5,8,5484.5,9,685.5625
"42",2011,"Hamilton","079","19",2165,2045.5,1122845.5,2178,2063.5,1140971,16.5,7358.5,22,445.969696969697
