"","cy","county_name","county","service_area","County_FIPS","lat","long","avg_monthly_cases","avg_monthly_recipients","avg_monthly_grants"
"1",2011,"Adair",1,"Des Moines",0,41.3307464,-94.4709413,23,58.5,7141.5
"2",2011,"Adair",1,"Des Moines",1,41.3307464,-94.4709413,23,58.5,7141.5
"3",2011,"Adams",2,"Des Moines",3,41.0289839,-94.6991849,14,36,4935.5
"4",2011,"Allamakee",3,"Northern",5,43.2842838,-91.3780923,110,287,35360.5
"5",2011,"Appanoose",4,"Cedar Rapids",7,40.7431635,-92.8686104,116,284.5,38359.5
"6",2011,"Audubon",5,"Western",0,41.6845893,-94.9058222,17,40,5224.5
"7",2011,"Audubon",5,"Western",9,41.6845893,-94.9058222,17,40,5224.5
"8",2011,"Benton",6,"Cedar Rapids",0,42.0801864,-92.0656912,81,196.5,25885
"9",2011,"Benton",6,"Cedar Rapids",11,42.0801864,-92.0656912,81,196.5,25885
"10",2011,"Black Hawk",7,"Northern",NA,42.4700957,-92.3088197,1064.5,2675,359518
"11",2011,"Boone",8,"Des Moines",0,42.0365493,-93.931671,104.5,279.5,37144
"12",2011,"Boone",8,"Des Moines",15,42.0365493,-93.931671,104.5,279.5,37144
"13",2011,"Bremer",9,"Northern",17,42.7745873,-92.3180548,52,124.5,16277
"14",2011,"Buchanan",10,"Northern",19,42.4707777,-91.8378392,72,174,23851.5
"15",2011,"Buena Vista",11,"Western",NA,42.7354936,-95.151149,98,257,31554
"16",2011,"Butler",12,"Northern",23,42.7315661,-92.7901934,55.5,141,18665
"17",2011,"Calhoun",13,"Northern",25,42.3851848,-94.6404136,31,74,9806
"18",2011,"Carroll",14,"Western",0,42.0362382,-94.8605593,56,148.5,18814.5
"19",2011,"Carroll",14,"Western",27,42.0362382,-94.8605593,56,148.5,18814.5
"20",2011,"Cass",15,"Western",29,41.3314876,-94.9278266,83.5,200,26937.5
"21",2011,"Cedar",16,"Eastern",0,41.7723207,-91.1324125,42.5,111.5,15044
"22",2011,"Cedar",16,"Eastern",31,41.7723207,-91.1324125,42.5,111.5,15044
"23",2011,"Cerro Gordo",17,"Northern",NA,43.0815577,-93.2608184,184,468,60294
"24",2011,"Cherokee",18,"Western",0,42.7356226,-95.6238055,28,61,8438.5
"25",2011,"Cherokee",18,"Western",35,42.7356226,-95.6238055,28,61,8438.5
"26",2011,"Chickasaw",19,"Northern",37,43.0600414,-92.3176637,57,138,18024
"27",2011,"Clarke",20,"Des Moines",39,41.0290323,-93.7851579,53,141.5,18849
"28",2011,"Clay",21,"Western",41,43.0825804,-95.1509194,101,257.5,33129.5
"29",2011,"Clayton",22,"Northern",0,42.8447493,-91.3414328,48.5,142,16313
"30",2011,"Clayton",22,"Northern",43,42.8447493,-91.3414328,48.5,142,16313
"31",2011,"Clinton",23,"Eastern",0,41.8980358,-90.5319724,411.5,1051.5,133873.5
"32",2011,"Clinton",23,"Eastern",45,41.8980358,-90.5319724,411.5,1051.5,133873.5
"33",2011,"Crawford",24,"Western",47,42.0372125,-95.3819678,114.5,294.5,38412
"34",2011,"Dallas",25,"Des Moines",0,41.6848862,-94.0397374,129.5,329.5,44436
"35",2011,"Dallas",25,"Des Moines",49,41.6848862,-94.0397374,129.5,329.5,44436
"36",2011,"Davis",26,"Cedar Rapids",0,40.7476891,-92.4097173,35.5,100,12318.5
"37",2011,"Davis",26,"Cedar Rapids",51,40.7476891,-92.4097173,35.5,100,12318.5
"38",2011,"Decatur",27,"Des Moines",0,40.7376827,-93.7862815,51,136,16584
"39",2011,"Decatur",27,"Des Moines",53,40.7376827,-93.7862815,51,136,16584
"40",2011,"Delaware",28,"Northern",0,42.471211,-91.3673502,69.5,193.5,25009
"41",2011,"Delaware",28,"Northern",55,42.471211,-91.3673502,69.5,193.5,25009
"42",2011,"Des Moines",29,"Eastern",NA,40.9231829,-91.1814707,352.5,874,116441
"43",2011,"Dickinson",30,"Western",59,43.3779848,-95.1508301,40.5,106,12851.5
