"","Summary.Level","State_FIPS","County_FIPS","County_Subdiv_FIPS","Place_FIPS","City_FIPS","Area_Name_FIPS","county"
"1",10,0,0,0,0,0,"United States","United"
"2",40,1,0,0,0,0,"Alabama","Alabama"
"3",50,1,1,0,0,0,"Autauga County","Autauga"
"4",50,1,3,0,0,0,"Baldwin County","Baldwin"
"5",50,1,5,0,0,0,"Barbour County","Barbour"
"6",50,1,7,0,0,0,"Bibb County","Bibb"
"7",50,1,9,0,0,0,"Blount County","Blount"
"8",50,1,11,0,0,0,"Bullock County","Bullock"
"9",50,1,13,0,0,0,"Butler County","Butler"
"10",50,1,15,0,0,0,"Calhoun County","Calhoun"
"11",50,1,17,0,0,0,"Chambers County","Chambers"
"12",50,1,19,0,0,0,"Cherokee County","Cherokee"
"13",50,1,21,0,0,0,"Chilton County","Chilton"
"14",50,1,23,0,0,0,"Choctaw County","Choctaw"
"15",50,1,25,0,0,0,"Clarke County","Clarke"
"16",50,1,27,0,0,0,"Clay County","Clay"
"17",50,1,29,0,0,0,"Cleburne County","Cleburne"
"18",50,1,31,0,0,0,"Coffee County","Coffee"
"19",50,1,33,0,0,0,"Colbert County","Colbert"
"20",50,1,35,0,0,0,"Conecuh County","Conecuh"
"21",50,1,37,0,0,0,"Coosa County","Coosa"
"22",50,1,39,0,0,0,"Covington County","Covington"
"23",50,1,41,0,0,0,"Crenshaw County","Crenshaw"
"24",50,1,43,0,0,0,"Cullman County","Cullman"
"25",50,1,45,0,0,0,"Dale County","Dale"
"26",50,1,47,0,0,0,"Dallas County","Dallas"
"27",50,1,49,0,0,0,"DeKalb County","DeKalb"
"28",50,1,51,0,0,0,"Elmore County","Elmore"
"29",50,1,53,0,0,0,"Escambia County","Escambia"
"30",50,1,55,0,0,0,"Etowah County","Etowah"
"31",50,1,57,0,0,0,"Fayette County","Fayette"
"32",50,1,59,0,0,0,"Franklin County","Franklin"
"33",50,1,61,0,0,0,"Geneva County","Geneva"
"34",50,1,63,0,0,0,"Greene County","Greene"
"35",50,1,65,0,0,0,"Hale County","Hale"
"36",50,1,67,0,0,0,"Henry County","Henry"
"37",50,1,69,0,0,0,"Houston County","Houston"
"38",50,1,71,0,0,0,"Jackson County","Jackson"
"39",50,1,73,0,0,0,"Jefferson County","Jefferson"
"40",50,1,75,0,0,0,"Lamar County","Lamar"
"41",50,1,77,0,0,0,"Lauderdale County","Lauderdale"
"42",50,1,79,0,0,0,"Lawrence County","Lawrence"
"43",50,1,81,0,0,0,"Lee County","Lee"
"44",50,1,83,0,0,0,"Limestone County","Limestone"
"45",50,1,85,0,0,0,"Lowndes County","Lowndes"
"46",50,1,87,0,0,0,"Macon County","Macon"
"47",50,1,89,0,0,0,"Madison County","Madison"
"48",50,1,91,0,0,0,"Marengo County","Marengo"
"49",50,1,93,0,0,0,"Marion County","Marion"
"50",50,1,95,0,0,0,"Marshall County","Marshall"
"51",50,1,97,0,0,0,"Mobile County","Mobile"
"52",50,1,99,0,0,0,"Monroe County","Monroe"
"53",50,1,101,0,0,0,"Montgomery County","Montgomery"
"54",50,1,103,0,0,0,"Morgan County","Morgan"
"55",50,1,105,0,0,0,"Perry County","Perry"
"56",50,1,107,0,0,0,"Pickens County","Pickens"
"57",50,1,109,0,0,0,"Pike County","Pike"
"58",50,1,111,0,0,0,"Randolph County","Randolph"
"59",50,1,113,0,0,0,"Russell County","Russell"
"60",50,1,115,0,0,0,"St. Clair County","St"
"61",50,1,117,0,0,0,"Shelby County","Shelby"
"62",50,1,119,0,0,0,"Sumter County","Sumter"
"63",50,1,121,0,0,0,"Talladega County","Talladega"
"64",50,1,123,0,0,0,"Tallapoosa County","Tallapoosa"
"65",50,1,125,0,0,0,"Tuscaloosa County","Tuscaloosa"
"66",50,1,127,0,0,0,"Walker County","Walker"
"67",50,1,129,0,0,0,"Washington County","Washington"
"68",50,1,131,0,0,0,"Wilcox County","Wilcox"
"69",50,1,133,0,0,0,"Winston County","Winston"
"70",162,1,0,0,124,0,"Abbeville city","Abbeville"
"71",162,1,0,0,460,0,"Adamsville city","Adamsville"
"72",162,1,0,0,484,0,"Addison town","Addison"
"73",162,1,0,0,676,0,"Akron town","Akron"
"74",162,1,0,0,820,0,"Alabaster city","Alabaster"
"75",162,1,0,0,988,0,"Albertville city","Albertville"
"76",162,1,0,0,1132,0,"Alexander City city","Alexander"
"77",162,1,0,0,1228,0,"Aliceville city","Aliceville"
"78",162,1,0,0,1396,0,"Allgood town","Allgood"
"79",162,1,0,0,1660,0,"Altoona town","Altoona"
"80",162,1,0,0,1708,0,"Andalusia city","Andalusia"
"81",162,1,0,0,1756,0,"Anderson town","Anderson"
"82",162,1,0,0,1852,0,"Anniston city","Anniston"
"83",162,1,0,0,2116,0,"Arab city","Arab"
"84",162,1,0,0,2260,0,"Ardmore town","Ardmore"
"85",162,1,0,0,2320,0,"Argo town","Argo"
"86",162,1,0,0,2428,0,"Ariton town","Ariton"
"87",162,1,0,0,2500,0,"Arley town","Arley"
"88",162,1,0,0,2836,0,"Ashford town","Ashford"
"89",162,1,0,0,2860,0,"Ashland town","Ashland"
"90",162,1,0,0,2908,0,"Ashville city","Ashville"
"91",162,1,0,0,2956,0,"Athens city","Athens"
"92",162,1,0,0,3004,0,"Atmore city","Atmore"
"93",162,1,0,0,3028,0,"Attalla city","Attalla"
"94",162,1,0,0,3076,0,"Auburn city","Auburn"
"95",162,1,0,0,3220,0,"Autaugaville town","Autaugaville"
"96",162,1,0,0,3364,0,"Avon town","Avon"
"97",162,1,0,0,3556,0,"Babbie town","Babbie"
"98",162,1,0,0,3676,0,"Baileyton town","Baileyton"
"99",162,1,0,0,3724,0,"Bakerhill town","Bakerhill"
"100",162,1,0,0,3940,0,"Banks town","Banks"
"101",162,1,0,0,4660,0,"Bay Minette city","Bay"
"102",162,1,0,0,4684,0,"Bayou La Batre city","Bayou"
"103",162,1,0,0,4852,0,"Bear Creek town","Bear"
"104",162,1,0,0,4900,0,"Beatrice town","Beatrice"
"105",162,1,0,0,4948,0,"Beaverton town","Beaverton"
"106",162,1,0,0,5164,0,"Belk town","Belk"
"107",162,1,0,0,5692,0,"Benton town","Benton"
"108",162,1,0,0,5932,0,"Berry town","Berry"
"109",162,1,0,0,5980,0,"Bessemer city","Bessemer"
"110",162,1,0,0,6460,0,"Billingsley town","Billingsley"
"111",162,1,0,0,7000,0,"Birmingham city","Birmingham"
"112",162,1,0,0,7120,0,"Black town","Black"
"113",162,1,0,0,7456,0,"Blountsville town","Blountsville"
"114",162,1,0,0,7672,0,"Blue Springs town","Blue"
"115",162,1,0,0,7912,0,"Boaz city","Boaz"
"116",162,1,0,0,8104,0,"Boligee town","Boligee"
"117",162,1,0,0,8248,0,"Bon Air town","Bon"
"118",162,1,0,0,9016,0,"Brantley town","Brantley"
"119",162,1,0,0,9136,0,"Brent city","Brent"
"120",162,1,0,0,9208,0,"Brewton city","Brewton"
"121",162,1,0,0,9328,0,"Bridgeport city","Bridgeport"
"122",162,1,0,0,9400,0,"Brighton city","Brighton"
"123",162,1,0,0,9424,0,"Brilliant town","Brilliant"
"124",162,1,0,0,9736,0,"Brookside town","Brookside"
"125",162,1,0,0,9808,0,"Brookwood town","Brookwood"
"126",162,1,0,0,10240,0,"Brundidge city","Brundidge"
"127",162,1,0,0,11032,0,"Butler town","Butler"
"128",162,1,0,0,11416,0,"Calera city","Calera"
"129",162,1,0,0,11512,0,"Camden city","Camden"
"130",162,1,0,0,11680,0,"Camp Hill town","Camp"
"131",162,1,0,0,12016,0,"Carbon Hill city","Carbon"
"132",162,1,0,0,12040,0,"Cardiff town","Cardiff"
"133",162,1,0,0,12160,0,"Carolina town","Carolina"
"134",162,1,0,0,12304,0,"Carrollton town","Carrollton"
"135",162,1,0,0,12496,0,"Castleberry town","Castleberry"
"136",162,1,0,0,12760,0,"Cedar Bluff town","Cedar"
"137",162,1,0,0,13264,0,"Center Point city","Center"
"138",162,1,0,0,13648,0,"Centre city","Centre"
"139",162,1,0,0,13672,0,"Centreville city","Centreville"
"140",162,1,0,0,14008,0,"Chatom town","Chatom"
"141",162,1,0,0,14104,0,"Chelsea city","Chelsea"
"142",162,1,0,0,14152,0,"Cherokee town","Cherokee"
"143",162,1,0,0,14392,0,"Chickasaw city","Chickasaw"
"144",162,1,0,0,14464,0,"Childersburg city","Childersburg"
"145",162,1,0,0,15064,0,"Citronelle city","Citronelle"
"146",162,1,0,0,15136,0,"Clanton city","Clanton"
"147",162,1,0,0,15256,0,"Clay city","Clay"
"148",162,1,0,0,15304,0,"Clayhatchee town","Clayhatchee"
"149",162,1,0,0,15376,0,"Clayton town","Clayton"
"150",162,1,0,0,15472,0,"Cleveland town","Cleveland"
"151",162,1,0,0,15640,0,"Clio city","Clio"
"152",162,1,0,0,16000,0,"Coaling town","Coaling"
"153",162,1,0,0,16240,0,"Coffee Springs town","Coffee"
"154",162,1,0,0,16264,0,"Coffeeville town","Coffeeville"
"155",162,1,0,0,16312,0,"Coker town","Coker"
"156",162,1,0,0,16600,0,"Collinsville town","Collinsville"
"157",162,1,0,0,16684,0,"Colony town","Colony"
"158",162,1,0,0,16744,0,"Columbia town","Columbia"
"159",162,1,0,0,16768,0,"Columbiana city","Columbiana"
"160",162,1,0,0,17176,0,"Coosada town","Coosada"
"161",162,1,0,0,17368,0,"Cordova city","Cordova"
"162",162,1,0,0,17824,0,"Cottonwood town","Cottonwood"
"163",162,1,0,0,17968,0,"County Line town","County"
"164",162,1,0,0,18040,0,"Courtland town","Courtland"
"165",162,1,0,0,18088,0,"Cowarts town","Cowarts"
"166",162,1,0,0,18304,0,"Creola city","Creola"
"167",162,1,0,0,18856,0,"Crossville town","Crossville"
"168",162,1,0,0,18952,0,"Cuba town","Cuba"
"169",162,1,0,0,18976,0,"Cullman city","Cullman"
"170",162,1,0,0,19216,0,"Cusseta town","Cusseta"
"171",162,1,0,0,19336,0,"Dadeville city","Dadeville"
"172",162,1,0,0,19360,0,"Daleville city","Daleville"
"173",162,1,0,0,19648,0,"Daphne city","Daphne"
"174",162,1,0,0,19744,0,"Dauphin Island town","Dauphin"
"175",162,1,0,0,19816,0,"Daviston town","Daviston"
"176",162,1,0,0,19912,0,"Dayton town","Dayton"
"177",162,1,0,0,20008,0,"Deatsville town","Deatsville"
"178",162,1,0,0,20104,0,"Decatur city","Decatur"
"179",162,1,0,0,20296,0,"Demopolis city","Demopolis"
"180",162,1,0,0,20392,0,"Detroit town","Detroit"
"181",162,1,0,0,20955,0,"Dodge City town","Dodge"
"182",162,1,0,0,21136,0,"Dora city","Dora"
"183",162,1,0,0,21184,0,"Dothan city","Dothan"
"184",162,1,0,0,21280,0,"Double Springs town","Double"
"185",162,1,0,0,21328,0,"Douglas town","Douglas"
