"","zip5","liquor_stores"
"1",712,1
"2",50002,2
"3",50003,4
"4",50005,1
"5",50006,2
"6",50008,1
"7",50009,18
"8",50010,32
"9",50014,6
"10",50020,3
"11",50021,16
"12",50022,8
"13",50023,15
"14",50025,3
"15",50028,2
"16",50033,2
"17",50035,5
"18",50036,13
"19",50044,1
"20",50046,2
"21",50047,4
"22",50048,2
"23",50049,6
"24",50054,4
"25",50056,1
"26",50058,3
"27",50060,4
"28",50061,2
"29",50063,1
"30",50069,2
"31",50070,1
"32",50071,1
"33",50072,1
"34",50075,1
"35",50076,1
"36",50107,1
"37",50109,1
"38",50111,15
"39",50112,12
"40",50115,2
"41",50122,4
"42",50123,1
"43",50124,3
"44",50125,15
"45",50126,7
"46",50129,5
"47",50130,1
"48",50131,14
"49",50135,1
"50",50138,9
"51",50140,3
"52",50142,3
"53",50144,3
"54",50150,1
"55",50156,2
"56",50158,22
"57",50160,1
"58",50161,1
"59",50162,1
"60",50163,2
"61",50166,1
"62",50169,1
"63",50170,3
"64",50171,4
"65",50174,1
"66",50201,8
"67",50206,1
"68",50207,3
"69",50208,11
"70",50210,1
"71",50211,8
"72",50212,3
"73",50213,8
"74",50216,2
"75",50219,7
"76",50220,9
"77",50225,2
"78",50226,4
"79",50228,1
"80",50233,1
"81",50236,1
"82",50237,1
"83",50240,1
"84",50244,1
"85",50247,4
"86",50248,8
"87",50249,1
"88",50250,2
"89",50251,1
"90",50257,1
"91",50261,1
"92",50263,12
"93",50265,25
"94",50266,24
"95",50268,1
"96",50273,6
"97",50276,1
"98",50300,1
"99",50309,7
"100",50310,8
"101",50311,8
"102",50312,8
"103",50313,14
"104",50314,10
"105",50315,15
"106",50316,5
"107",50317,25
"108",50320,9
"109",50321,9
"110",50322,31
"111",50323,4
"112",50324,3
"113",50325,14
"114",50327,4
"115",50401,24
"116",50421,5
"117",50423,2
"118",50424,3
"119",50428,7
"120",50430,2
"121",50435,2
"122",50436,5
"123",50438,3
"124",50441,11
"125",50447,1
"126",50450,4
"127",50452,1
"128",50456,2
"129",50458,1
"130",50459,4
"131",50461,4
"132",50466,4
"133",50468,1
"134",50469,4
"135",50471,1
"136",50472,3
"137",50475,1
"138",50483,1
"139",50501,29
"140",50510,2
"141",50511,8
"142",50514,1
"143",50517,3
"144",50525,6
"145",50529,1
"146",50530,2
"147",50533,3
"148",50535,1
"149",50536,6
"150",50540,1
"151",50541,1
"152",50542,1
"153",50543,4
"154",50548,5
"155",50554,2
"156",50558,1
"157",50563,4
"158",50569,1
"159",50574,3
"160",50575,1
"161",50579,5
"162",50581,3
"163",50583,5
"164",50585,2
"165",50588,15
"166",50590,2
"167",50595,10
"168",50597,3
"169",50598,2
"170",50601,4
"171",50602,3
"172",50604,1
"173",50606,3
"174",50613,27
"175",50616,8
"176",50619,3
"177",50621,4
"178",50622,2
"179",50627,4
"180",50628,1
"181",50629,3
"182",50630,3
"183",50632,1
"184",50634,1
"185",50635,4
"186",50636,3
"187",50638,5
"188",50641,1
"189",50643,2
"190",50644,7
"191",50647,1
"192",50648,2
"193",50650,1
"194",50651,3
"195",50655,1
"196",50658,2
"197",50659,3
"198",50660,1
"199",50662,11
"200",50665,1
"201",50667,3
"202",50669,2
"203",50674,3
"204",50675,3
"205",50676,2
"206",50677,7
"207",50680,1
"208",50682,3
"209",50701,20
"210",50702,25
"211",50703,25
"212",50707,16
"213",50801,7
"214",50830,1
"215",50833,2
"216",50841,3
"217",50846,2
"218",50849,2
"219",50851,2
"220",50854,3
"221",50864,3
"222",51001,2
"223",51002,3
"224",51003,1
