"","zip5","n_post_offices"
"1",50002,1
"2",50003,1
"3",50005,1
"4",50006,1
"5",50007,1
"6",50008,1
"7",50009,1
"8",50010,1
"9",50020,1
"10",50021,1
"11",50022,1
"12",50025,1
"13",50026,1
"14",50027,1
"15",50028,1
"16",50029,1
"17",50031,1
"18",50032,1
"19",50033,1
"20",50034,1
"21",50035,1
"22",50036,1
"23",50038,1
"24",50039,1
"25",50040,1
"26",50041,1
"27",50042,1
"28",50044,1
"29",50046,1
"30",50047,1
"31",50048,1
"32",50049,1
"33",50050,1
"34",50051,1
"35",50054,1
"36",50055,1
"37",50056,1
"38",50058,1
"39",50060,1
"40",50061,1
"41",50063,1
"42",50064,1
"43",50065,1
"44",50066,1
"45",50067,1
"46",50068,1
"47",50069,1
"48",50070,1
"49",50071,1
"50",50072,1
"51",50073,1
"52",50074,1
"53",50075,1
"54",50076,1
"55",50078,1
"56",50102,1
"57",50103,1
"58",50104,1
"59",50105,1
"60",50106,1
"61",50107,1
"62",50108,1
"63",50109,1
"64",50110,1
"65",50111,1
"66",50112,1
"67",50115,1
"68",50116,1
"69",50118,1
"70",50119,1
"71",50120,1
"72",50122,1
"73",50123,1
"74",50124,1
"75",50125,1
"76",50126,1
"77",50128,1
"78",50129,1
"79",50130,1
"80",50131,1
"81",50132,1
"82",50133,1
"83",50135,1
"84",50136,1
"85",50137,1
"86",50138,1
"87",50139,1
"88",50140,1
"89",50141,1
"90",50142,1
"91",50143,1
"92",50144,1
"93",50145,1
"94",50146,1
"95",50147,1
"96",50148,1
"97",50149,1
"98",50150,1
"99",50151,1
"100",50153,1
"101",50154,1
"102",50155,1
"103",50156,1
"104",50157,1
"105",50158,1
"106",50160,1
"107",50161,1
"108",50162,1
"109",50163,1
"110",50164,1
"111",50166,1
"112",50167,1
"113",50168,1
"114",50169,1
"115",50170,1
"116",50171,1
"117",50173,1
"118",50174,1
"119",50201,1
"120",50206,1
"121",50207,1
"122",50208,1
"123",50210,1
"124",50211,1
"125",50212,1
"126",50213,1
"127",50214,1
"128",50216,1
"129",50217,1
"130",50219,1
"131",50220,1
"132",50223,1
"133",50225,1
"134",50226,1
"135",50228,1
"136",50229,1
"137",50230,1
"138",50231,1
"139",50232,1
"140",50233,1
"141",50234,1
"142",50235,1
"143",50236,1
"144",50237,1
"145",50238,1
"146",50239,1
"147",50240,1
