"","district_school_id","public","type","geometry"
"1",172,TRUE,"High",c(-92.674655, 42.09468)
"2",172,TRUE,"Middle",c(-92.674655, 42.09468)
"3",526,TRUE,"Elementary",c(-90.535945, 41.536973)
"4",459,TRUE,"Elementary",c(-94.185576, 42.521102)
"5",448,TRUE,"Elementary",c(-93.743666, 41.625371)
"6",423,TRUE,"Elementary",c(-96.407443, 42.54413)
"7",415,TRUE,"Elementary",c(-93.736447, 41.678766)
"8",440,TRUE,"Elementary",c(-93.626421, 42.042006)
"9",409,TRUE,"Elementary",c(-94.672859, 42.731585)
"10",8102,TRUE,"Elementary",c(-94.662307, 42.732611)
"11",431,TRUE,"Middle",c(-93.539753, 41.35544)
"12",961,TRUE,"Elementary",c(-93.618975, 42.051193)
"13",109,TRUE,"High",c(-93.222279, 43.454252)
"14",109,TRUE,"Middle",c(-93.222279, 43.454252)
"15",236,TRUE,"Middle",c(-93.616215, 41.627682)
"16",447,TRUE,"Elementary",c(-93.589447, 41.744444)
"17",8103,TRUE,"Elementary",c(-95.717779, 42.236783)
"18",427,TRUE,"Elementary",c(-90.561397, 41.549204)
"19",455,TRUE,"Elementary",c(-93.796497, 41.636764)
"20",616,TRUE,"Elementary",c(-93.650365, 41.548238)
"21",411,TRUE,"Elementary",c(-90.483735, 41.544807)
"22",418,TRUE,"Elementary",c(-93.609939, 41.753021)
"23",509,TRUE,"Elementary",c(-94.198595, 42.496282)
"24",8109,TRUE,"Elementary",c(-90.560599, 41.54286)
"25",8109,TRUE,"Middle",c(-90.560599, 41.54286)
"26",118,TRUE,"High",c(-93.713066, 41.586342)
"27",454,TRUE,"Elementary",c(-94.183555, 42.50123)
"28",8104,TRUE,"Elementary",c(-93.630255, 42.05011)
"29",8000,TRUE,"Elementary",c(-95.96926, 42.811161)
"30",8000,TRUE,"High",c(-95.96926, 42.811161)
"31",8000,TRUE,"Middle",c(-95.96926, 42.811161)
"32",472,TRUE,"Elementary",c(-93.756452, 41.578004)
"33",607,TRUE,"Elementary",c(-96.339947, 42.46183)
"34",301,TRUE,"Elementary",c(-92.416676, 40.998317)
"35",425,TRUE,"Elementary",c(-95.853709, 41.364599)
"36",209,TRUE,"Middle",c(-93.464561, 41.698711)
"37",8108,TRUE,"Elementary",c(-93.606554, 41.601732)
"38",8108,TRUE,"Middle",c(-93.606554, 41.601732)
"39",412,TRUE,"Elementary",c(-93.613704, 41.818529)
"40",544,TRUE,"Elementary",c(-95.869056, 41.266643)
"41",8117,TRUE,"Elementary",c(-93.623344, 41.531935)
"42",8117,TRUE,"Middle",c(-93.623344, 41.531935)
"43",517,TRUE,"Elementary",c(-92.399947, 41.01513)
"44",436,TRUE,"Elementary",c(-93.578438, 41.360427)
"45",445,TRUE,"Elementary",c(-93.604747, 41.623238)
"46",435,TRUE,"Elementary",c(-93.610485, 41.600358)
"47",463,TRUE,"Elementary",c(-90.622255, 41.512529)
"48",250,TRUE,"Middle",c(-92.314171, 42.168664)
"49",8101,TRUE,"Elementary",c(-94.36466, 41.054979)
"50",8101,TRUE,"Middle",c(-94.36466, 41.054979)
"51",417,TRUE,"Elementary",c(-95.594112, 41.504331)
"52",8120,TRUE,"Elementary",c(-93.561202, 41.628854)
"53",8120,TRUE,"High",c(-93.561202, 41.628854)
"54",8120,TRUE,"Middle",c(-93.561202, 41.628854)
"55",8112,TRUE,"Elementary",c(-93.707376, 41.628647)
"56",8112,TRUE,"Middle",c(-93.707376, 41.628647)
"57",8401,TRUE,"Elementary",c(-93.187852, 43.146193)
"58",8401,TRUE,"High",c(-93.187852, 43.146193)
"59",8401,TRUE,"Middle",c(-93.187852, 43.146193)
"60",408,TRUE,"Elementary",c(-93.024438, 41.69578)
"61",487,TRUE,"Elementary",c(-91.970446, 40.998036)
"62",569,TRUE,"Elementary",c(-91.675791, 42.022844)
"63",486,TRUE,"Elementary",c(-91.958376, 41.002989)
"64",558,TRUE,"Elementary",c(-91.668234, 42.044207)
"65",610,TRUE,"Elementary",c(-91.666068, 41.950253)
"66",434,TRUE,"Elementary",c(-92.015742, 42.57631)
"67",434,TRUE,"Middle",c(-92.015742, 42.57631)
"68",554,TRUE,"Elementary",c(-92.307839, 42.496574)
"69",120,TRUE,"High",c(-95.195155, 42.647886)
"70",8602,TRUE,"Elementary",c(-91.453666, 40.715214)
"71",8153,TRUE,"Middle",c(-91.004814, 42.441847)
"72",516,TRUE,"Elementary",c(-90.25054, 41.844528)
"73",467,TRUE,"Elementary",c(-93.062229, 41.692838)
"74",8220,TRUE,"Elementary",c(-91.671671, 42.005831)
"75",8220,TRUE,"Middle",c(-91.671671, 42.005831)
"76",550,TRUE,"Elementary",c(-92.36255, 42.462662)
"77",433,TRUE,"Elementary",c(-91.752443, 41.971291)
"78",8002,TRUE,"Elementary",c(-94.865389, 42.059272)
