"","program_name","dementia_specific","certification","occupancy","county","adminfirstname","adminlastname","phone","fax1","email","location_1","location_1_address","location_1_city","location_1_state","location_1_zip","zip5","zip9","coords","lat","long"
"1","Aspen Heights Assisted Living","No","S0320",48,"Sioux","Michael","Grevengoed","(712) 439-6715","(712) 439-6717","aheights@premieronline.net","","1410 Aspen Street","Hull","Iowa",51239,51239,51239,NA,NA,NA
"2","Bavarian Meadows","No","S0293",44,"Plymouth","Rebecca","Staab","(712) 786-1660","(712) 786-1662","bmeadows@midland.net","","632 - L14; PO Box 265","Remsen","Iowa",51050,51050,51050,NA,NA,NA
"3","Bridges at Ankeny","Yes","S0358",30,"Polk","Mark","Walker","(515) 963-9815","(515) 964-7716","mwalker@thebridgesankeny.com","","3510 NW Abilene Road","Ankeny","Iowa",50023,50023,50023,NA,NA,NA
"4","Char-Mac of Manning","No","S0356",42,"Carroll","Tanner","Chartier","(712) 655-4893","(712) 655-4949","tanner@char-mac.com","","203 11th Street","Manning","Iowa",51455,51455,51455,NA,NA,NA
"5","Deerfield Place","No","S0304",32,"Franklin","Jackie","Jass","(641) 892-8080","(641) 892-8081","managerdeerfieldplace@outlook.com","","505 East Gilman St","Sheffield","Iowa",50475,50475,50475,NA,NA,NA
"6","Emery Place","Yes","S0351",62,"Linn","Debbie","Crosser","(319) 536-0045","(319) 536-0047","manager@emeryplaceliving.com","","901 South Mentzer Road","Robins","Iowa",52328,52328,52328,NA,NA,NA
"7","Golden Horizons","No","S0316",46,"Ida","Suelinn","Grant","(712) 364-4128","(712) 364-2002","sgrant@goldenhorizons.org","","800 Byron Godbersen Drive","Ida Grove","Iowa",51445,51445,51445,NA,NA,NA
"8","Good Samaritan Society - Timber Ridge","No","S0310",48,"Wapello","Pamela","Wilson","(641) 684-3553","(641) 684-3557","pwilson3@good-sam.com","","#2 Oak Ridge Road","Ottumwa","Iowa",52501,52501,52501,NA,NA,NA
"9","Irving Point","No","S0286",110,"Linn","Tina","Perry","(319) 294-5007","(319) 337-2430","tperry@keywaymanagement.com","","910 7th Avenue SE","Cedar Rapids","Iowa",52401,52401,52401,NA,NA,NA
"10","Lakeside Assisted Living","No","S0340",24,"Palo Alto","Donna","Rierson","(712) 852-4060","(712) 852-9914","drierson@lakesidelutheranhome.com","","401 North Lawler Street","Emmetsburg","Iowa",50536,50536,50536,NA,NA,NA
"11","Lamoni AL","No","S0256",10,"Decatur","Jacqueline","Welchans","(641) 784-8910","(641) 784-8913","jwelchans@careinitiatives.org; rmccoy@careinitiatives.org","","810 East Third","Lamoni","Iowa",501401300,50140,501401300,NA,NA,NA
"12","Lincolnwood AL","No","S0082",54,"Delaware","Kaylee","Ries","(563) 928-6461","(563) 928-6462","laliving@iowatelecom.net; shejda@assistedlivingpartners.com","","302 W Lincoln, PO Box 189","Edgewood","Iowa",520420189,52042,520420189,NA,NA,NA
"13","Parkview Assisted Living","No","S0189",20,"Buchanan","Tiffanie","Michels","(319) 635-2585","(319) 635-2177","parkviewassistedliving@gmail.com","","114 Forest Street","Fairbank","Iowa",506297713,50629,506297713,NA,NA,NA
"14","Terrace Park Sr Living","No","S0109",32,"Decatur","Jonda ","Petty","(641) 446-8396","(641) 446-8398","terrpark@grm.net","","201SW Lorraine","Leon","Iowa",501441182,50144,501441182,NA,NA,NA
"15","Valley View Assisted Living","No","S0185",24,"Iowa","Jody ","Morrison","(319) 664-3257","(319) 664-3875","evncc@netins.net","","150 W. Washington, Po Box 430","North English","Iowa",523169514,52316,523169514,NA,NA,NA
"16","Waukee Memory Care, LLC","Yes","S0317",32,"Dallas","Amy","Barth","(515) 987-4103","(515) 987-5795","abarth@watermarkcommunities.com","","1505 SE Laurel Street","Waukee","Iowa",50263,50263,50263,NA,NA,NA
"17","Willows (The)","Yes","S0230",12,"Henry","Sheila","Matheney","(319) 385-1403","(319) 219-2962","sheila@arborcourt.net","","710 Arbor Court","Mt. Pleasant","Iowa",526411400,52641,526411400,NA,NA,NA
"18","Arlington Place of Pocahontas","Yes","S0226",63,"Pocahontas","Lauri","Fulkerth","(712) 335-3020","(712) 335-5875","managerph@arlingtonplaceretirement.com","POINT (-94.660529 42.73453)","101 NE 5th Street","Pocahontas","Iowa",505742139,50574,505742139,NA,NA,NA
"19","Forest Plaza AL","No","S0131",80,"Winnebago","Rick","Burke","(641) 585-1555","(641) 585-2522","rick@forestplaza.biz","POINT (-93.629477 43.270325)","635 Hwy. 9 East","Forest City","Iowa",504361028,50436,504361028,NA,NA,NA
"20","Circle Terrace Lodge","No","S0234",8,"Worth","Kimber","Kleven","(641) 454-2223","(641) 454-2124","kkleven@careinitiatives.org; rmccoy@careinitiatives.org","POINT (-93.197222 43.282715)","155 Circle Terrace","Manly","Iowa",504565073,50456,504565073,NA,NA,NA
"21","Parkview Assisted Living","No","S0274",24,"Carroll","Michael","Hocking","(712) 999-0120","(712) 999-5669","mhocking@thomasresthaven.org","POINT (-94.673563 41.871983)","210 Park Street","Coon Rapids","Iowa",50058,50058,50058,NA,NA,NA
"22","Cardinal Grove","No","S0119",28,"Hancock","Sue","Boehnke","(641) 923-2114","(641) 923-0074","sboehnke@abcmcorp.com","POINT (-93.609015 43.091078)","1355 Division Street","Garner","Iowa",504381968,50438,504381968,NA,NA,NA
"23","Apple Valley Hampton","No","S0126",42,"Franklin","Terri","Cosselman","(641) 456-4692","(641) 456-4854","aval@cltel.net","POINT (-93.186491 42.741278)","1724 Central Avenue East","Hampton","Iowa",504411865,50441,504411865,NA,NA,NA
"24","Homestead of Creston Operations LLC","Yes","S0270",64,"Union","Gloria","Rink","(641) 782-3131","(641) 782-3176","grink@homesteadofcreston.com","POINT (-94.382366 41.067505)","1709 West Prairie","Creston","Iowa",508011321,50801,508011321,NA,NA,NA
"25","Cresco Assisted Living","No","S0210",54,"Howard","Heidi","Rice","(563) 547-2364","(563) 547-5013","crescoassistedliving@gmail.com","POINT (-92.113941 43.383133)","1004 North Elm Street","Cresco","Iowa",521361097,52136,521361097,NA,NA,NA
"26","Elm Crest Retirement Comm","No","S0059",64,"Shelby","Kathy","Goede","(712) 755-5174","(712) 755-5654","kgoede@abhomes.org; tnauslar@abhomes.org","POINT (-95.325453 41.649351)","2108 12th Street","Harlan","Iowa",515372023,51537,515372023,NA,NA,NA
"27","SunnyBrook of Fort Madison","Yes","S0280",70,"Lee","Sarah","Martin","(319) 372-8611","(319) 372-8131","administrator@sunnybrookftmadison.com","POINT (-91.377808 40.631599)","5025 River Valley Road","Fort Madison","Iowa",52627,52627,52627,NA,NA,NA
