"","year","fips_county_code","county_name","dhs_service_area","judicial_district","age_group","victims","geocoded_column","County_FIPS","State_FIPS","lat","long"
"1",2006,19153,"Polk","6-Des Moines","5-FifthJD","11 Years Old and Older",392,"POINT (-93.5735335 41.6855048)","153","19",41.6855048,-93.5735335
"2",2007,19157,"Poweshiek","4-Ames","8-Eigth JD","6 to 10 Years Old",16,"POINT (-92.53146840000001 41.6864422)","157","19",41.6864422,-92.5314684
"3",2005,19185,"Wayne","6-Des Moines","5-FifthJD","6 to 10 Years Old",13,"POINT (-93.3273639 40.73947020000001)","185","19",40.7394702,-93.3273639
"4",2012,19051,"Davis","4-Cedar Rapids","8-Eigth JD","11 Years Old and Older",4,"POINT (-92.4097173 40.7476891)","051","19",40.7476891,-92.4097173
"5",2017,19191,"Winneshiek","2-Northern","1-First JD","11 Years Old and Older",8,"POINT (-91.8437074 43.2906746)","191","19",43.2906746,-91.8437074
"6",2011,19139,"Muscatine","3-Eastern","7-Seventh JD","6 to 10 Years Old",69,"POINT (-91.1127562 41.4839221)","139","19",41.4839221,-91.1127562
"7",2012,19145,"Page","1-Western","4-FourthJD","6 to 10 Years Old",27,"POINT (-95.1501747 40.7391444)","145","19",40.7391444,-95.1501747
"8",2013,19033,"Cerro Gordo","2-Northern","2-Second JD","11 Years Old and Older",41,"POINT (-93.2608184 43.081557700000005)","033","19",43.0815577,-93.2608184
"9",2012,19147,"Palo Alto","1-Western","3-Third JD","11 Years Old and Older",5,"POINT (-94.6781371 43.0820643)","147","19",43.0820643,-94.6781371
"10",2009,19033,"Cerro Gordo","2-Waterloo","2-Second JD","6 to 10 Years Old",71,"POINT (-93.2608184 43.081557700000005)","033","19",43.0815577,-93.2608184
"11",2011,19195,"Worth","2-Northern","2-Second JD","5 Years Old and Younger",6,"POINT (-93.2608476 43.3773984)","195","19",43.3773984,-93.2608476
"12",2005,19041,"Clay","1-Sioux City","3-Third JD","5 Years Old and Younger",46,"POINT (-95.1509194 43.0825804)","041","19",43.0825804,-95.1509194
"13",2009,19183,"Washington","7-Cedar Rapids","8-Eigth JD","11 Years Old and Older",12,"POINT (-91.7178676 41.335591)","183","19",41.335591,-91.7178676
"14",2012,19139,"Muscatine","3-Eastern","7-Seventh JD","6 to 10 Years Old",59,"POINT (-91.1127562 41.4839221)","139","19",41.4839221,-91.1127562
"15",2012,19011,"Benton","4-Cedar Rapids","6-SixthJD","5 Years Old and Younger",33,"POINT (-92.0656912 42.0801864)","011","19",42.0801864,-92.0656912
"16",2004,19043,"Clayton","3-Dubuque","1-First JD","11 Years Old and Older",25,"POINT (-91.34143280000002 42.8447493)","043","19",42.8447493,-91.3414328
"17",2011,19029,"Cass","1-Western","4-FourthJD","11 Years Old and Older",16,"POINT (-94.9278266 41.3314876)","029","19",41.3314876,-94.9278266
"18",2015,19023,"Butler","2-Northern","2-Second JD","6 to 10 Years Old",7,"POINT (-92.7901934 42.7315661)","023","19",42.7315661,-92.7901934
"19",2005,19161,"Sac","5-Council Bluffs","2-Second JD","11 Years Old and Older",6,"POINT (-95.1053946 42.3862604)","161","19",42.3862604,-95.1053946
"20",2017,19109,"Kossuth","1-Western","3-Third JD","11 Years Old and Older",16,"POINT (-94.2067199 43.20413)","109","19",43.20413,-94.2067199
"21",2009,19079,"Hamilton","4-Ames","2-Second JD","11 Years Old and Older",19,"POINT (-93.7068085 42.3837722)","079","19",42.3837722,-93.7068085
"22",2011,19113,"Linn","4-Cedar Rapids","6-SixthJD","6 to 10 Years Old",193,"POINT (-91.5989646 42.0789478)","113","19",42.0789478,-91.5989646
"23",2005,19031,"Cedar","8-Davenport","7-Seventh JD","11 Years Old and Older",12,"POINT (-91.1324125 41.7723207)","031","19",41.7723207,-91.1324125
"24",2012,19055,"Delaware","2-Northern","1-First JD","6 to 10 Years Old",14,"POINT (-91.3673502 42.471211)","055","19",42.471211,-91.3673502
"25",2010,19141,"OBrien","1-Western","3-Third JD","5 Years Old and Younger",36,"POINT (-95.6248784 43.0837527)","141","19",43.0837527,-95.6248784
"26",2010,19089,"Howard","2-Northern","1-First JD","6 to 10 Years Old",4,"POINT (-92.3171989 43.3567673)","089","19",43.3567673,-92.3171989
"27",2008,19053,"Decatur","6-Des Moines","5-FifthJD","11 Years Old and Older",7,"POINT (-93.7862815 40.7376827)","053","19",40.7376827,-93.7862815
"28",2008,19157,"Poweshiek","4-Ames","8-Eigth JD","11 Years Old and Older",18,"POINT (-92.53146840000001 41.6864422)","157","19",41.6864422,-92.5314684
"29",2005,19111,"Lee","8-Davenport","8-Eigth JD","11 Years Old and Older",45,"POINT (-91.479264 40.6419764)","111","19",40.6419764,-91.479264
"30",2010,19007,"Appanoose","4-Cedar Rapids","8-Eigth JD","11 Years Old and Older",28,"POINT (-92.8686104 40.7431635)","007","19",40.7431635,-92.8686104
"31",2004,19087,"Henry","8-Davenport","8-Eigth JD","5 Years Old and Younger",73,"POINT (-91.5445241 40.9879383)","087","19",40.9879383,-91.5445241
"32",2014,19077,"Guthrie","1-Western","5-FifthJD","5 Years Old and Younger",11,"POINT (-94.501055 41.6837548)","077","19",41.6837548,-94.501055
"33",2013,19001,"Adair","5-Des Moines","5-FifthJD","5 Years Old and Younger",18,"POINT (-94.4709413 41.3307464)","001","19",41.3307464,-94.4709413
"34",2009,19083,"Hardin","4-Ames","2-Second JD","11 Years Old and Older",27,"POINT (-93.2404025 42.3838803)","083","19",42.3838803,-93.2404025
"35",2005,19187,"Webster","4-Ames","2-Second JD","6 to 10 Years Old",55,"POINT (-94.18178810000002 42.4279662)","187","19",42.4279662,-94.1817881
"36",2006,19121,"Madison","6-Des Moines","5-FifthJD","6 to 10 Years Old",10,"POINT (-94.01556190000001 41.33071420000001)","121","19",41.3307142,-94.0155619
"37",2007,19123,"Mahaska","7-Cedar Rapids","8-Eigth JD","11 Years Old and Older",32,"POINT (-92.6409094 41.3352035)","123","19",41.3352035,-92.6409094
"38",2010,19109,"Kossuth","1-Western","3-Third JD","11 Years Old and Older",14,"POINT (-94.2067199 43.20413)","109","19",43.20413,-94.2067199
"39",2013,19099,"Jasper","4-Cedar Rapids","5-FifthJD","5 Years Old and Younger",121,"POINT (-93.053765 41.6860394)","099","19",41.6860394,-93.053765
"40",2005,19129,"Mills","5-Council Bluffs","4-FourthJD","11 Years Old and Older",6,"POINT (-95.62132670000001 41.0334523)","129","19",41.0334523,-95.6213267
"41",2005,19027,"Carroll","5-Council Bluffs","2-Second JD","5 Years Old and Younger",44,"POINT (-94.8605593 42.0362382)","027","19",42.0362382,-94.8605593
"42",2012,19133,"Monona","1-Western","3-Third JD","5 Years Old and Younger",10,"POINT (-95.9599235 42.0516663)","133","19",42.0516663,-95.9599235
"43",2006,19047,"Crawford","5-Council Bluffs","3-Third JD","6 to 10 Years Old",16,"POINT (-95.3819678 42.0372125)","047","19",42.0372125,-95.3819678
"44",2005,19141,"OBrien","1-Sioux City","3-Third JD","6 to 10 Years Old",12,"POINT (-95.6248784 43.0837527)","141","19",43.0837527,-95.6248784
"45",2015,19031,"Cedar","3-Eastern","7-Seventh JD","11 Years Old and Older",8,"POINT (-91.1324125 41.7723207)","031","19",41.7723207,-91.1324125
"46",2014,19037,"Chickasaw","2-Northern","1-First JD","5 Years Old and Younger",13,"POINT (-92.3176637 43.06004140000001)","037","19",43.0600414,-92.3176637
"47",2005,19099,"Jasper","4-Ames","5-FifthJD","6 to 10 Years Old",44,"POINT (-93.053765 41.6860394)","099","19",41.6860394,-93.053765
"48",2014,19113,"Linn","4-Cedar Rapids","6-SixthJD","5 Years Old and Younger",260,"POINT (-91.5989646 42.0789478)","113","19",42.0789478,-91.5989646
"49",2010,19097,"Jackson","3-Eastern","7-Seventh JD","5 Years Old and Younger",30,"POINT (-90.5742294 42.1717426)","097","19",42.1717426,-90.5742294
"50",2013,19115,"Louisa","3-Eastern","8-Eigth JD","5 Years Old and Younger",11,"POINT (-91.2596184 41.2185073)","115","19",41.2185073,-91.2596184
"51",2013,19009,"Audubon","1-Western","4-FourthJD","11 Years Old and Older",3,"POINT (-94.9058222 41.6845893)","009","19",41.6845893,-94.9058222
"52",2007,19097,"Jackson","3-Dubuque","7-Seventh JD","6 to 10 Years Old",19,"POINT (-90.5742294 42.1717426)","097","19",42.1717426,-90.5742294
