"","State","County","FIPS","zip5","NAICSDESCR","long","lat","phone_loc","level","specialty","license","Name","Owner"
"1","IA","Woodbury","19193",51026,"FIRE AND RESCUE SERVICE",-96.0969122,42.2305953,"YES","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","HORNICK VOLUNTEER FIRE AND RESCUE","CITY/MUNICIPAL"
"2","IA","Plymouth","19149",51038,"AMBULANCE AND FIRE SERVICE COMBINED",-96.247563,42.7193008,"NO","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","MERRILL FIRE DEPARTMENT","NOT AVAILABLE"
"3","IA","Plymouth","19149",51031,"AMBULANCE SERVICES, AIR OR GROUND",-96.1659957,42.7790197,"YES","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","LE MARS AMBULANCE SERVICE STATION 1","NOT AVAILABLE"
"4","IA","Monona","19133",51523,"AMBULANCE AND FIRE SERVICE COMBINED",-96.0805956,41.930062,"NO","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","BLENCOE FIRE DEPARTMENT","LOCAL"
"5","IA","Plymouth","19149",51001,"AMBULANCE AND FIRE SERVICE COMBINED",-96.5532514,42.817316,"NO","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","AKRON VOLUNTEER FIRE DEPARTMENT","LOCAL"
"6","IA","Plymouth","19149",51031,"AMBULANCE SERVICES, AIR OR GROUND",-96.16599,42.7951903,"YES","EMT PARAMEDIC","NOT AVAILABLE","NOT AVAILABLE","LE MARS AMBULANCE SERVICE STATION 2","CITY/MUNICIPAL"
"7","IA","Woodbury","19193",51026,"AMBULANCE SERVICES, AIR OR GROUND",-96.0790105,42.3424716,"YES","EMT PARAMEDIC","NOT AVAILABLE","NOT AVAILABLE","WOODBURY COUNTY DISASTER AND EMERGENCY SERVICES","COUNTY"
"8","IA","Plymouth","19149",51038,"AMBULANCE SERVICES, AIR OR GROUND",-96.247563,42.7192999,"NO","EMT INTERMEDIATE","NOT AVAILABLE","NOT AVAILABLE","MERRILL AMBULANCE SERVICE","CITY/MUNICIPAL"
"9","IA","Sioux","19167",51036,"AMBULANCE AND FIRE SERVICE COMBINED",-96.1795271,42.9662028,"YES","EMT INTERMEDIATE","NOT AVAILABLE","NOT AVAILABLE","MAURICE FIRE DEPARTMENT / MAURICE FIRST RESPONDERS","CITY/MUNICIPAL"
"10","IA","Plymouth","19149",51031,"FIRE AND RESCUE SERVICE",-96.1659886,42.7951903,"YES","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","LE MARS FIRE RESCUE DEPARTMENT STATION 1","FIRE"
"11","IA","Sioux","19167",51023,"FIRE AND RESCUE SERVICE",-96.4876737,43.0103566,"YES","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","HAWARDEN FIRE AND RESCUE","NOT AVAILABLE"
"12","IA","Sioux","19167",51239,"AMBULANCE AND FIRE SERVICE COMBINED",-96.1371372,43.1871305,"YES","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","HULL CITY FIRE DEPARTMENT","LOCAL"
"13","IA","Woodbury","19193",51052,"FIRE AND RESCUE SERVICE",-96.2875404,42.3075591,"YES","EMT PARAMEDIC","NOT AVAILABLE","NOT AVAILABLE","SALIX FIRE AND RESCUE","CITY/MUNICIPAL"
"14","IA","Lyon","19119",51230,"AMBULANCE AND FIRE SERVICE COMBINED",-96.3011463,43.3417019,"NO","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","ALVORD FIRE DEPARTMENT","NOT AVAILABLE"
"15","IA","Lyon","19119",51246,"AMBULANCE AND FIRE SERVICE COMBINED",-96.1706531,43.4310236,"YES","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","ROCK RAPIDS FIRE DEPARTMENT","LOCAL"
"16","IA","Lyon","19119",51240,"FIRE AND RESCUE SERVICE",-96.431052,43.3037424,"YES","EMT INTERMEDIATE","NOT AVAILABLE","NOT AVAILABLE","INWOOD FIRE AND RESCUE","COUNTY"
"17","IA","Woodbury","19193",51007,"AMBULANCE SERVICES, AIR OR GROUND",-96.2120055,42.4097557,"YES","EMT PARAMEDIC","NOT AVAILABLE","NOT AVAILABLE","BRONSON COMMUNITY AMBULANCE","CITY/MUNICIPAL"
"18","IA","Sioux","19167",51023,"AMBULANCE SERVICES, AIR OR GROUND",-96.4876179,43.0101615,"YES","EMT INTERMEDIATE","NOT AVAILABLE","NOT AVAILABLE","HAWARDEN AMBULANCE ASSOCIATION","CITY/MUNICIPAL"
"19","IA","Woodbury","19193",51105,"AMBULANCE SERVICES, AIR OR GROUND",-96.378824,42.5071005,"YES","EMT PARAMEDIC","NOT AVAILABLE","NOT AVAILABLE","SIOUXLAND PARAMEDICS INCORPORATED","PRIVATE"
"20","IA","Plymouth","19149",51001,"AMBULANCE SERVICES, AIR OR GROUND",-96.5572455,42.8296252,"YES","EMT PARAMEDIC","NOT AVAILABLE","NOT AVAILABLE","SIOUXLAND PARAMEDICS - AKRON STATION","PRIVATE"
"21","IA","Woodbury","19193",51039,"RESCUE SERVICES, MEDICAL",-96.0754308,42.4885122,"YES","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","MOVILLE AMBULANCE RESCUE SQUAD","CITY/MUNICIPAL"
"22","IA","Woodbury","19193",51101,"AIR AMBULANCE SERVICES",-96.4001155,42.4958453,"YES","EMT PARAMEDIC","NOT AVAILABLE","NOT AVAILABLE","MERCY AIR CARE","HOSPITAL"
"23","IA","Monona","19133",51040,"AMBULANCE AND FIRE SERVICE COMBINED",-96.0950172,42.0250548,"NO","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","ONAWA FIRE DEPARTMENT STATION 1","LOCAL"
"24","IA","Plymouth","19149",51045,"FIRE AND RESCUE SERVICE",-96.0580631,42.8195409,"YES","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","OYENS VOLUNTEER FIRE AND RESCUE","CITY/MUNICIPAL"
"25","IA","Woodbury","19193",51030,"FIRE AND RESCUE SERVICE",-96.1842964,42.4784269,"YES","EMT PARAMEDIC","NOT AVAILABLE","NOT AVAILABLE","LAWTON FIRE AND RESCUE","CITY/MUNICIPAL"
"26","IA","Lyon","19119",51241,"AMBULANCE SERVICES, AIR OR GROUND",-96.4334452,43.4540903,"NO","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","LARCHWOOD EMERGENCY MEDICAL SERVICES INCORPORATED","CITY/MUNICIPAL"
"27","IA","Woodbury","19193",51055,"FIRE AND RESCUE SERVICE",-96.2309015,42.2361972,"YES","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","SLOAN FIRE AND RESCUE","CITY/MUNICIPAL"
"28","IA","Sioux","19167",51250,"AMBULANCE SERVICES, AIR OR GROUND",-96.1758182,43.0717758,"YES","EMT PARAMEDIC","NOT AVAILABLE","NOT AVAILABLE","SIOUX CENTER AMBULANCE","CITY/MUNICIPAL"
"29","IA","Sioux","19167",51247,"AMBULANCE SERVICES, AIR OR GROUND",-96.2944784,43.2036881,"YES","EMT INTERMEDIATE","NOT AVAILABLE","NOT AVAILABLE","ROCK VALLEY AMBULANCE ASSOCIATION","CITY/MUNICIPAL"
"30","IA","Lyon","19119",51242,"FIRE AND RESCUE SERVICE",-96.3351616,43.4397349,"NO","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","LESTER FIRE AND RESCUE SQUAD","CITY/MUNICIPAL"
"31","IA","Lyon","19119",51235,"AMBULANCE AND FIRE SERVICE COMBINED",-96.2331471,43.2801763,"NO","BASIC","NOT AVAILABLE","NOT AVAILABLE","DOON FIRE AND EMERGENCY MEDICAL SERVICES","FIRE"
"32","IA","Plymouth","19149",51024,"AMBULANCE SERVICES, AIR OR GROUND",-96.2933535,42.6268026,"YES","EMT INTERMEDIATE","NOT AVAILABLE","NOT AVAILABLE","HINTON AMBULANCE","CITY/MUNICIPAL"
"33","IA","Woodbury","19193",51104,"AMBULANCE AND FIRE SERVICE COMBINED",-96.4158877,42.5245238,"NO","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","SIOUX CITY FIRE DEPARTMENT STATION 4","NOT AVAILABLE"
"34","IA","Woodbury","19193",51106,"AMBULANCE AND FIRE SERVICE COMBINED",-96.3471605,42.4406123,"NO","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","SIOUX CITY FIRE DEPARTMENT STATION 5","NOT AVAILABLE"
"35","IA","Woodbury","19193",51101,"AMBULANCE AND FIRE SERVICE COMBINED",-96.3756321,42.4930797,"NO","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","SIOUX CITY FIRE DEPARTMENT STATION 3","NOT AVAILABLE"
"36","IA","Woodbury","19193",51103,"AMBULANCE AND FIRE SERVICE COMBINED",-96.4587261,42.5097396,"NO","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","SIOUX CITY FIRE DEPARTMENT STATION 8","NOT AVAILABLE"
"37","IA","Woodbury","19193",51106,"AMBULANCE AND FIRE SERVICE COMBINED",-96.3533918,42.4708391,"NO","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","SIOUX CITY FIRE DEPARTMENT STATION 6","NOT AVAILABLE"
"38","IA","Monona","19133",51040,"AMBULANCE AND FIRE SERVICE COMBINED",-96.0921775,42.0194641,"NO","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","ONAWA FIRE DEPARTMENT STATION 2","NOT AVAILABLE"
"39","IA","Woodbury","19193",51108,"AMBULANCE AND FIRE SERVICE COMBINED",-96.3699392,42.5345856,"NO","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","SIOUX CITY FIRE DEPARTMENT STATION 7","NOT AVAILABLE"
"40","IA","Woodbury","19193",51101,"AMBULANCE AND FIRE SERVICE COMBINED",-96.4074264,42.4999199,"YES","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","SIOUX CITY FIRE DEPARTMENT STATION 1","NOT AVAILABLE"
"41","IA","Plymouth","19149",51062,"AMBULANCE SERVICES, AIR OR GROUND",-96.6051319,42.7567634,"NO","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","SIOUXLAND PARAMEDICS - WESTFIELD STATION","PRIVATE"
"42","IA","Lyon","19119",51246,"AMBULANCE SERVICES, AIR OR GROUND",-96.1683094,43.4282205,"YES","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","LYON COUNTY AMBULANCE","COUNTY"
"43","IA","Monona","19133",51063,"AMBULANCE AND FIRE SERVICE COMBINED",-96.1533952,42.1271909,"YES","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","WHITING VOLUNTEER FIRE DEPARTMENT","CITY/MUNICIPAL"
"44","IA","Woodbury","19193",51054,"FIRE AND RESCUE SERVICE",-96.3550852,42.3980016,"YES","EMT PARAMEDIC","NOT AVAILABLE","NOT AVAILABLE","SERGEANT BLUFF FIRE AND RESCUE","FIRE"
