"","zip5","firefighters"
"1",50002,26
"2",50003,27
"3",50005,25
"4",50006,24
"5",50008,28
"6",50009,31
"7",50010,55
"8",50020,30
"9",50022,38
"10",50023,78
"11",50025,40
"12",50026,8
"13",50027,20
"14",50028,18
"15",50029,20
"16",50034,14
"17",50035,30
"18",50036,13
"19",50039,20
"20",50040,12
"21",50042,16
"22",50043,22
"23",50046,20
"24",50047,32
"25",50048,14
"26",50049,35
"27",50050,22
"28",50051,18
"29",50054,35
"30",50056,22
"31",50057,14
"32",50058,26
"33",50060,20
"34",50063,25
"35",50066,6
"36",50068,15
"37",50069,12
"38",50070,32
"39",50071,23
"40",50072,21
"41",50073,17
"42",50074,10
"43",50075,25
"44",50103,12
"45",50105,20
"46",50107,30
"47",50108,12
"48",50109,16
"49",50111,27
"50",50112,35
"51",50115,26
"52",50118,15
"53",50119,10
"54",50123,18
"55",50124,27
"56",50125,44
"57",50126,34
"58",50128,6
"59",50130,23
"60",50131,48
"61",50133,24
"62",50134,22
"63",50135,24
"64",50136,16
"65",50138,63
"66",50139,21
"67",50140,21
"68",50141,16
"69",50144,25
"70",50147,20
"71",50149,12
"72",50150,16
"73",50151,24
"74",50153,15
"75",50154,20
"76",50156,21
"77",50157,18
"78",50158,27
"79",50160,18
"80",50161,18
"81",50162,18
"82",50163,29
"83",50164,15
"84",50166,31
"85",50167,10
"86",50168,10
"87",50170,30
"88",50171,30
"89",50173,16
"90",50174,22
"91",50201,38
"92",50207,27
"93",50208,30
"94",50210,25
"95",50211,32
"96",50212,16
"97",50213,26
"98",50216,27
"99",50217,39
"100",50219,26
"101",50220,40
"102",50222,9
"103",50223,14
"104",50225,30
"105",50226,40
"106",50230,18
"107",50232,10
"108",50233,25
"109",50234,20
"110",50235,12
"111",50236,17
"112",50238,30
"113",50242,11
"114",50246,19
"115",50247,24
"116",50248,25
"117",50250,23
"118",50256,11
"119",50257,21
"120",50258,7
"121",50261,28
"122",50262,9
"123",50263,43
"124",50264,13
"125",50265,86
"126",50268,13
"127",50269,15
"128",50271,36
"129",50272,18
"130",50273,19
"131",50274,30
"132",50277,15
"133",50278,18
"134",50313,35
"135",50315,30
"136",50317,406
"137",50321,69
"138",50323,51
"139",50324,33
"140",50325,49
"141",50327,42
"142",50401,44
"143",50420,8
"144",50421,30
"145",50423,26
"146",50424,20
"147",50428,42
"148",50431,14
"149",50432,17
"150",50433,18
"151",50434,7
"152",50435,25
"153",50436,24
"154",50438,25
"155",50439,11
"156",50440,21
"157",50441,43
"158",50444,18
"159",50446,12
"160",50447,20
"161",50450,24
"162",50451,24
"163",50452,21
"164",50456,17
"165",50458,25
"166",50459,30
"167",50461,30
"168",50465,17
"169",50466,18
"170",50468,20
"171",50469,20
"172",50471,20
"173",50472,28
"174",50473,13
"175",50477,18
"176",50478,18
"177",50480,21
"178",50482,21
"179",50483,21
"180",50484,18
"181",50501,36
"182",50511,26
"183",50514,20
"184",50516,25
"185",50517,18
"186",50518,22
"187",50519,21
"188",50520,19
"189",50522,18
"190",50523,15
"191",50525,20
"192",50528,18
"193",50533,23
"194",50535,26
"195",50536,21
"196",50538,28
"197",50539,23
"198",50540,19
"199",50542,17
"200",50543,20
"201",50544,20
"202",50545,6
"203",50546,20
"204",50548,21
"205",50551,12
"206",50552,14
"207",50554,20
"208",50556,14
"209",50557,15
"210",50558,19
"211",50559,18
"212",50560,28
"213",50562,25
"214",50563,46
"215",50566,17
"216",50567,12
"217",50568,27
"218",50569,17
"219",50571,22
"220",50573,18
"221",50574,23
"222",50575,54
"223",50577,18
"224",50578,14
"225",50579,25
"226",50581,38
"227",50583,29
"228",50585,23
"229",50588,33
"230",50590,24
"231",50591,12
"232",50592,10
"233",50594,18
"234",50595,29
"235",50597,22
"236",50598,26
"237",50599,25
"238",50601,29
"239",50603,20
"240",50604,22
"241",50605,19
"242",50606,18
"243",50607,18
"244",50613,60
"245",50616,29
"246",50619,22
"247",50620,15
"248",50621,20
"249",50624,24
"250",50625,16
"251",50626,22
"252",50627,24
"253",50628,26
"254",50629,28
"255",50630,24
"256",50632,35
"257",50633,8
"258",50634,24
"259",50635,36
"260",50636,22
"261",50638,31
"262",50641,18
"263",50643,33
"264",50644,26
"265",50645,25
"266",50647,27
"267",50648,35
"268",50651,35
"269",50652,20
"270",50653,18
"271",50654,19
"272",50655,23
"273",50658,28
"274",50659,30
"275",50660,48
"276",50662,30
"277",50664,10
"278",50665,35
"279",50666,24
"280",50667,18
"281",50668,22
"282",50669,25
"283",50670,20
"284",50671,18
"285",50672,14
"286",50674,30
"287",50675,24
"288",50676,24
"289",50677,34
"290",50680,22
"291",50681,20
"292",50682,16
"293",50703,106
"294",50707,28
"295",50801,25
"296",50830,30
"297",50833,30
"298",50836,16
"299",50837,0
"300",50841,30
"301",50843,22
"302",50845,20
"303",50846,24
"304",50847,15
"305",50848,20
"306",50849,24
"307",50851,26
"308",50853,29
"309",50854,24
"310",50857,15
"311",50859,17
"312",50862,25
"313",50863,12
"314",50864,28
"315",51001,25
"316",51002,31
"317",51003,18
"318",51004,21
"319",51005,20
"320",51006,23
"321",51007,22
"322",51009,11
"323",51010,12
"324",51012,36
"325",51014,22
"326",51016,20
"327",51018,20
"328",51019,20
"329",51020,24
"330",51022,24
"331",51023,30
"332",51025,30
"333",51026,24
"334",51027,25
"335",51029,11
"336",51030,21
"337",51031,27
