"","cy","county_name","County_FIPS","service_area","lat","long","avg_monthly_households","avg_monthly_recipients","avg_monthly_allotments"
"1",2011,"Adair",0,"Des Moines",41.3307464,-94.4709413,368,833.5,96844
"2",2011,"Adair",1,"Des Moines",41.3307464,-94.4709413,368,833.5,96844
"3",2011,"Adams",3,"Des Moines",41.0289839,-94.6991849,195,482.5,53435.5
"4",2011,"Allamakee",5,"Northern",43.2842838,-91.3780923,726.5,1640.5,199397
"5",2011,"Appanoose",7,"Cedar Rapids",40.7431635,-92.8686104,1120.5,2277.5,272692.5
"6",2011,"Audubon",0,"Western",41.6845893,-94.9058222,209,508,57766.5
"7",2011,"Audubon",9,"Western",41.6845893,-94.9058222,209,508,57766.5
"8",2011,"Benton",0,"Cedar Rapids",42.0801864,-92.0656912,1098.5,2490,294589.5
"9",2011,"Benton",11,"Cedar Rapids",42.0801864,-92.0656912,1098.5,2490,294589.5
"10",2011,"Black Hawk",NA,"Northern",42.4700957,-92.3088197,9132.5,18704.5,2308699
"11",2011,"Boone",0,"Des Moines",42.0365493,-93.931671,1273.5,2720,347454
"12",2011,"Boone",15,"Des Moines",42.0365493,-93.931671,1273.5,2720,347454
"13",2011,"Bremer",17,"Northern",42.7745873,-92.3180548,560,1293.5,143760.5
"14",2011,"Buchanan",19,"Northern",42.4707777,-91.8378392,833.5,1882.5,210851
"15",2011,"Buena Vista",NA,"Western",42.7354936,-95.151149,951,2511,289420
"16",2011,"Butler",23,"Northern",42.7315661,-92.7901934,540,1305.5,135474
"17",2011,"Calhoun",25,"Northern",42.3851848,-94.6404136,410,1014.5,108476
"18",2011,"Carroll",0,"Western",42.0362382,-94.8605593,810,1743,205165
"19",2011,"Carroll",27,"Western",42.0362382,-94.8605593,810,1743,205165
"20",2011,"Cass",29,"Western",41.3314876,-94.9278266,820,1907,205276
"21",2011,"Cedar",0,"Eastern",41.7723207,-91.1324125,630.5,1550.5,180816
"22",2011,"Cedar",31,"Eastern",41.7723207,-91.1324125,630.5,1550.5,180816
"23",2011,"Cerro Gordo",NA,"Northern",43.0815577,-93.2608184,3175.5,6266,774299.5
"24",2011,"Cherokee",0,"Western",42.7356226,-95.6238055,455.5,1074.5,113928
