"","geo_name","year","fips","lat","long","population"
"1","Ackley",2010,1900190,42.5518776,-93.0527656,1589
"2","Ackley",2011,1900190,42.5518776,-93.0527656,1571
"3","Ackley",2012,1900190,42.5518776,-93.0527656,1569
"4","Ackley",2013,1900190,42.5518776,-93.0527656,1558
"5","Ackley",2014,1900190,42.5518776,-93.0527656,1554
"6","Ackley",2015,1900190,42.5518776,-93.0527656,1543
"7","Ackley",2016,1900190,42.5518776,-93.0527656,1535
"8","Ackley",2017,1900190,42.5518776,-93.0527656,1518
"9","Ackley",2018,1900190,42.5518776,-93.0527656,1505
"10","Ackley",2019,1900190,42.5518776,-93.0527656,1498
"11","Ackworth",2010,1900235,41.3663016,-93.4747827,83
"12","Ackworth",2011,1900235,41.3663016,-93.4747827,104
"13","Ackworth",2012,1900235,41.3663016,-93.4747827,105
"14","Ackworth",2013,1900235,41.3663016,-93.4747827,105
"15","Ackworth",2014,1900235,41.3663016,-93.4747827,104
"16","Ackworth",2015,1900235,41.3663016,-93.4747827,107
"17","Ackworth",2016,1900235,41.3663016,-93.4747827,108
"18","Ackworth",2017,1900235,41.3663016,-93.4747827,107
"19","Ackworth",2018,1900235,41.3663016,-93.4747827,108
"20","Ackworth",2019,1900235,41.3663016,-93.4747827,105
"21","Adair",2010,1900370,41.5003898,-94.6434132,781
"22","Adair",2011,1900370,41.5003898,-94.6434132,767
"23","Adair",2012,1900370,41.5003898,-94.6434132,754
"24","Adair",2013,1900370,41.5003898,-94.6434132,746
"25","Adair",2014,1900370,41.5003898,-94.6434132,743
"26","Adair",2015,1900370,41.5003898,-94.6434132,719
"27","Adair",2016,1900370,41.5003898,-94.6434132,699
"28","Adair",2017,1900370,41.5003898,-94.6434132,702
"29","Adair",2018,1900370,41.5003898,-94.6434132,706
"30","Adair",2019,1900370,41.5003898,-94.6434132,713
"31","Adel",2010,1900505,41.6121709,-94.0135968,3682
"32","Adel",2011,1900505,41.6121709,-94.0135968,3823
"33","Adel",2012,1900505,41.6121709,-94.0135968,3892
"34","Adel",2013,1900505,41.6121709,-94.0135968,3984
"35","Adel",2014,1900505,41.6121709,-94.0135968,4050
"36","Adel",2015,1900505,41.6121709,-94.0135968,3988
"37","Adel",2016,1900505,41.6121709,-94.0135968,4209
"38","Adel",2017,1900505,41.6121709,-94.0135968,4390
"39","Adel",2018,1900505,41.6121709,-94.0135968,4954
"40","Adel",2019,1900505,41.6121709,-94.0135968,5455
"41","Afton",2010,1900595,41.0276183,-94.1953729,845
"42","Afton",2011,1900595,41.0276183,-94.1953729,846
"43","Afton",2012,1900595,41.0276183,-94.1953729,847
"44","Afton",2013,1900595,41.0276183,-94.1953729,847
"45","Afton",2014,1900595,41.0276183,-94.1953729,842
"46","Afton",2015,1900595,41.0276183,-94.1953729,827
"47","Afton",2016,1900595,41.0276183,-94.1953729,826
"48","Afton",2017,1900595,41.0276183,-94.1953729,831
"49","Afton",2018,1900595,41.0276183,-94.1953729,821
"50","Afton",2019,1900595,41.0276183,-94.1953729,815
"51","Agency",2010,1900640,40.997475,-92.3072288,638
"52","Agency",2011,1900640,40.997475,-92.3072288,636
"53","Agency",2012,1900640,40.997475,-92.3072288,636
"54","Agency",2013,1900640,40.997475,-92.3072288,640
"55","Agency",2014,1900640,40.997475,-92.3072288,640
"56","Agency",2015,1900640,40.997475,-92.3072288,645
"57","Agency",2016,1900640,40.997475,-92.3072288,641
"58","Agency",2017,1900640,40.997475,-92.3072288,638
"59","Agency",2018,1900640,40.997475,-92.3072288,646
"60","Agency",2019,1900640,40.997475,-92.3072288,643
"61","Ainsworth",2010,1900730,41.2900827,-91.5545142,567
"62","Ainsworth",2011,1900730,41.2900827,-91.5545142,568
"63","Ainsworth",2012,1900730,41.2900827,-91.5545142,570
"64","Ainsworth",2013,1900730,41.2900827,-91.5545142,571
"65","Ainsworth",2014,1900730,41.2900827,-91.5545142,574
"66","Ainsworth",2015,1900730,41.2900827,-91.5545142,577
"67","Ainsworth",2016,1900730,41.2900827,-91.5545142,576
"68","Ainsworth",2017,1900730,41.2900827,-91.5545142,580
"69","Ainsworth",2018,1900730,41.2900827,-91.5545142,579
"70","Ainsworth",2019,1900730,41.2900827,-91.5545142,579
"71","Akron",2010,1900775,42.8266985,-96.5570105,1486
"72","Akron",2011,1900775,42.8266985,-96.5570105,1502
