"","store","name","store_status","address","city","state","zip5","zip9","lat","long"
"1",2106,"Hillstreet News and Tobacco","A","2217 College","Cedar Falls","IA",50613,50613,42.517182,-92.455796
"2",2113,"Jamboree Foods","I","1119 Market St. Box 71","Gowrie","IA",50543,50543,42.28057,-94.289457
"3",2130,"Sycamore Convenience","A","617 Sycamore","Waterloo","IA",50703,50703,42.497854,-92.335358
"4",2152,"Dugans Supermarket","I","202 4th North","Rockwell","IA",50469,50469,42.986351,-93.188172
"5",2178,"Double D Liquor Store","A","618 Rossville Road","Waukon","IA",52172,52172,43.262114,-91.473634
"6",2190,"Central City Liquor, Inc.","A","1460 2ND AVE","Des Moines","IA",50314,50314,41.60566,-93.619787
"7",2191,"Keokuk Spirits","A","1013 Main","Keokuk","IA",52632,52632,40.400038,-91.387797
"8",2200,"Sac Liquor Store","A","619 E Main St","Sac City","IA",50583,50583,42.421341,-94.974011
"9",2205,"Ding's Honk And Holler","I","900 E Washington","Clarinda","IA",51632,51632,40.739231,-95.027238
"10",2228,"Rodgers Spirits and More","A","53 Green St","Winterset","IA",50273,50273,41.336405,-94.013374
"11",2233,"Forbes Liquor Locker / remi","A","2508 Enterprise Ave","Spirit Lake","IA",51360,51360,43.416433,-95.126786
"12",2238,"Adventureland Inn","A","305 34th Ave NW","Altoona","IA",50009,50009,NA,NA
"13",2248,"Ingersoll Liquor and Beverage","A","3500 Ingersoll Ave","Des Moines","IA",50312,50312,41.586319,-93.664182
"14",2285,"John's Grocery","A","401 East Market St","Iowa City","IA",52240,52240,41.663541,-91.529854
"15",2290,"Al's Liquors Unlimited","I","215 West Milwaukee","Storm Lake","IA",50588,50588,42.647492,-95.202405
"16",2327,"West Side Spirits","A","801 Hull St","Corning","IA",50841,50841,40.990378,-94.743692
"17",2353,"Cresco Liquor Store","I","708 2nd Ave SE","Cresco","IA",52136,52136,43.371131,-92.106529
"18",2367,"Spencer's Grocery","I","101 South Burnett","Shenandoah","IA",51601,51601,40.765934,-95.381935
"19",2413,"Beecher Beverage","I","1691 Asbury Road","Dubuque","IA",52001,52001,42.500775,-90.696886
"20",2422,"Marriott Corp.","I","700 Grand Avenue","Des Moines","IA",50309,50309,41.587503,-93.626508
"21",2445,"Ruback's Food Center","A","504 South Highway","Oakland","IA",51560,51560,NA,NA
"22",2448,"Bottle Boutique","I","705 E. SECOND","Indianola","IA",50125,50125,41.358176,-93.552616
"23",2459,"Reinhart Foods","A","200 State Po Box 98","Guthrie Center","IA",50115,50115,NA,NA
"24",2460,"Liquor Barn, Inc.","I","721 Central Avenue West","Hampton","IA",50441,50441,42.741728,-93.21693
"25",2465,"Sid's Beverage Shop","A","2727 Dodge St","Dubuque","IA",52003,52003,42.491862,-90.705328
"26",2475,"Private Cellar, Inc.","I","206 2nd Ave NE","West Bend","IA",50597,50597,42.96298,-94.443
"27",2478,"Prairie Meadows","A","One Prairie Meadows Drive","Altoona","IA",50009,50009,NA,NA
"28",2487,"Anamosa Family Foods","I","402 East Main","Anamosa","IA",52205,52205,42.108275,-91.281344
"29",2498,"Charley's Quik Shop","I","910 Main St","Arlington","IA",50606,50606,42.751074,-91.674803
"30",2500,"Hy-Vee Food Store #1 / Ames","A","3800 W Lincoln Way","Ames","IA",50010,50010,42.022832,-93.669899
"31",2501,"Hy-Vee  #2 / Ames","A","640 Lincolnway","Ames","IA",50010,50010,NA,NA
"32",2502,"Hy-Vee Wine and Spirits / Ankeny","A","410 North Ankeny Blvd","Ankeny","IA",50021,50021,41.734647,-93.600406
"33",2505,"Hy-Vee Wine and Spirits / Boone","A","1111  8TH ST","Boone","IA",50036,50036,42.063831,-93.876107
"34",2506,"Hy-Vee #1044 / Burlington","A","3140 Agency","Burlington","IA",52601,52601,40.814666,-91.136655
"35",2507,"Hy-Vee Food Store #1 / Burlington","A","939 Angular","Burlington","IA",52601,52601,40.801889,-91.110752
"36",2508,"Hy-Vee Food Store #1 / Cedar Rapids","A","1843 Johnson Avenue, N.W.","Cedar Rapids","IA",52405,52405,41.97447,-91.697941
"37",2509,"Hy-Vee / Drugtown #1 / Cedar Rapids","A","1520 6th St SW","Cedar Rapids","IA",52404,52404,41.962419,-91.67706
"38",2512,"Hy-Vee Wine and Spirits / Iowa City","A","1720 Waterfront Dr","Iowa City","IA",52240,52240,41.642764,-91.530463
"39",2513,"Hy-Vee Food Store #2 / Iowa City","A","812  S 1st Ave","Iowa City","IA",52240,52240,41.650955,-91.501984
"40",2514,"Hy-Vee Drugstore / Marion","I","2790 7th Avenue","Marion","IA",52302,52302,42.033186,-91.582229
"41",2515,"Hy-Vee Food Store #1 / Mason City","A","2400 4th St SW","Mason City","IA",50401,50401,43.148451,-93.235588
"42",2517,"Hy-Vee Food Store #1 / Newton","A","1501 First Avenue East","Newton","IA",50208,50208,41.69916,-93.034296
"43",2518,"Hy-Vee Wine and Spirits / Red Oak","A","1607 North Broadway","Red Oak","IA",51566,51566,41.019275,-95.232783
"44",2521,"Hy-Vee Food and Drug / Grand / WDM","A","1990 Grand Avenue","West Des Moines","IA",50265,50265,41.571127,-93.73162
"45",2522,"Hy-Vee Wine and Spirits / Spirit Lake","A","Hwy 9 & 71","Spirit Lake","IA",51360,51360,43.430322,-94.993814
"46",2523,"Hy-Vee Food Store / Centerville","A","609 N 18th","Centerville","IA",52544,52544,40.737577,-92.867967
"47",2524,"Hy-Vee Food Store / Dubuque","A","3500 Dodge St","Dubuque","IA",52001,52001,42.491944,-90.720589
"48",2527,"Hy-Vee Food Store #5 / Des Moines","A","1107 SE Army Post Rd","Des Moines","IA",50315,50315,41.526289,-93.602372
"49",2528,"Hy-Vee Food Store #3 / Des Moines","A","3221 SE 14th St","Des Moines","IA",50315,50315,41.554101,-93.596754
"50",2529,"Hy-Vee Drugstore #4 / Cedar Rapids","A","4825 Johnson Ave NW","Cedar Rapids","IA",52405,52405,41.968343,-91.73337
"51",2532,"Hy-Vee Food Store #2 / Des Moines","A","2540 E Euclid","Des Moines","IA",50317,50317,41.627838,-93.569452
"52",2535,"Hy-Vee Food Store #1 / WDM","A","1700 Valley West Dr","West Des Moines","IA",50265,50265,41.597749,-93.751985
"53",2536,"HY-VEE / PLEASANT HILL","A","4815 Maple Drive","Pleasant Hill","IA",50317,50317,41.598109,-93.519187
"54",2538,"Hy-Vee Food Store #3 / Waterloo","A","1422 Flammang Dr","Waterloo","IA",50702,50702,42.459938,-92.327917
"55",2539,"Hy-Vee Food Store / Iowa Falls","A","640 S. Oak","Iowa Falls","IA",50126,50126,42.508752,-93.262364
"56",2543,"Hy-Vee Food Store #1 / Ottumwa","A","1025 North Quincy Ave","Ottumwa","IA",52501,52501,41.01558,-92.438463
"57",2544,"Hy-Vee Food Store / Marshalltown","A","802 South Center","Marshalltown","IA",50158,50158,42.039205,-92.912817
"58",2545,"Hy-Vee Drugstore / Iowa City","A","310 N 1st St","Iowa City","IA",52245,52245,42.207428,-91.528105
"59",2548,"Hy-Vee Food Store / Altoona","A","100 8th Street SW","Altoona","IA",50009,50009,41.644041,-93.465301
"60",2549,"Hy-Vee Food Store / Indianola","A","910 N Jefferson","Indianola","IA",50125,50125,NA,NA
"61",2550,"Hy-Vee Food Store / Osceola","A","510 West Mclane","Osceola","IA",50213,50213,41.030569,-93.77321
"62",2551,"Hy-Vee Food Store / Chariton","A","2001 West Court","Chariton","IA",50049,50049,NA,NA
"63",2552,"Hy-Vee Food Store #3 / Cedar Rapids","A","20 Wilson Avenue West","Cedar Rapids","IA",52404,52404,41.955859,-91.658577
