"NAME","long","lat","GEOID_PS","CENTROID_X (NAD_1983_UTM_Zone_15N)","CENTROID_Y (NAD_1983_UTM_Zone_15N)"
"Ackley",-97.7245976488641,49.3450365296882,"1900190",495662.432122,4711074.43882
"Ackworth",-97.8154889910277,48.977769686258,"1900235",460427.855181,4579445.73091
"Adair",-98.2252737907244,48.9938309041357,"1900370",362771.728909,4595525.43341
"Adel",-98.0154141035589,49.0412694139144,"1900505",414884.18715,4607504.61221
"Afton",-98.0512136146473,48.8606627813594,"1900595",399436.638719,4542595.69674
"Agency",-97.3951959658849,48.8929335821868,"1900640",558287.067834,4538597.95411
"Ainsworth",-97.1496347266775,48.9998287778949,"1900730",620895.956725,4572013.73601
"Akron",-98.930547393887,49.359600224869,"1900775",209253.002962,4747607.4302
"Albert City",-98.381094915381,49.3746708433994,"1900865",340573.88611,4738291.74099
"Albia",-97.5689099015385,48.8902404249802,"1900910",516448.801195,4541654.30603
"Albion",-97.6827406238097,49.2134773548278,"1900955",500833.671875,4662136.77005
"Alburnett",-97.2152500756969,49.2574734280775,"1901000",613941.019929,4667371.92839
"Alden",-97.8330033798215,49.327459579928,"1901045",469201.160386,4707286.79314
"Alexander",-97.8807831947755,49.4120694134217,"1901090",460991.968034,4739279.56146
"Algona",-98.1477445965496,49.4766058712361,"1901135",400036.389438,4769433.05301
"Alleman",-97.8815036369282,49.1094137075578,"1901180",449501.622824,4629023.48071
"Allerton",-97.7501364950431,48.7813818978761,"1901270",468925.674347,4506302.77257
"Allison",-97.6460398763745,49.4114601143898,"1901315",516776.642755,4733405.14917
"Alta",-98.4978434246724,49.3349991172575,"1901495",311198.843375,4726905.48551
"Alta Vista",-97.538306031317,49.5543968680318,"1901540",547513.459506,4782954.63941
"Alton",-98.7506596534549,49.4174294491247,"1901585",254460.163362,4763715.9775
"Altoona",-97.8275859664947,49.0617875661741,"1901630",460635.173238,4610353.78062
"Alvord",-98.8621848660245,49.5198524200348,"1901675",232296.987754,4804075.99877
"Amana",-97.2852749237947,49.1459913123247,"1901720",593396.588424,4628316.90164
"Ames",-97.9020890257274,49.1749009324551,"1901855",447028.922995,4653389.17696
"Anamosa",-97.0954743671812,49.25352195502,"1901990",642380.035147,4663278.13453
"Anderson",-98.5308648455981,48.7638390025982,"1902035",280233.249637,4519719.75568
"Andover",-96.7361884448142,49.241186834855,"1902080",727706.331605,4651096.59976
"Andrew",-96.8626517485445,49.2847852651242,"1902125",698939.580888,4669645.71959
"Anita",-98.2653103094459,48.9749722024321,"1902260",352435.734688,4589683.00567
"Ankeny",-97.8796103875634,49.0856436278411,"1902305",449067.900426,4620316.18798
"Anthon",-98.6794165311971,49.2390067270475,"1902350",264010.937434,4696795.56807
"Aplington",-97.6679563995634,49.3579211002845,"1902395",509616.049305,4714417.0745
"Arcadia",-98.3861853040574,49.1628647457177,"1902485",330917.145993,4661267.13885
"Archer",-98.6648699474858,49.4609877602911,"1902530",276646.438891,4777255.95315
"Aredale",-97.7210450619589,49.4313463586405,"1902620",499674.355983,4742437.9513
"Arion",-98.5246643937083,49.1137144216802,"1902755",295846.008955,4647009.43055
"Arispe",-98.0560688920924,48.8362645236128,"1902800",397341.835124,4533827.89307
"Arlington",-97.2624069359303,49.4366090029891,"1902845",608857.794412,4733711.68658
"Armstrong",-98.2470993168867,49.5694210042618,"1902935",380103.207382,4805773.83259
"Arnolds Park",-98.4628233856683,49.5473105553965,"1903025",328102.943772,4803317.93778
"Arthur",-98.4991136785122,49.2327535107801,"1903115",306761.790234,4689694.5559
"Asbury",-96.9445036139339,49.3879601459365,"1903160",682813.944327,4708997.15865
"Ashton",-98.6872071602912,49.5195250934764,"1903295",273771.999995,4799179.49881
"Aspinwall",-98.4104931771611,49.1088760249573,"1903340",322955.017919,4642235.2929
"Atalissa",-97.0293723787889,49.0943644080913,"1903385",652867.086069,4603826.11336
