"","feature_id","feature_name","State","County","elev_in_m","elev_in_ft","map_name","lat","long"
"1",465633,"Crystal Springs Golf Club Post Office (historical)","IA","Des Moines",205,673,"Burlington",40.8383718,-91.1201459
"2",466388,"Waupeton Post Office (historical)","IA","Dubuque",192,630,"Cassville",42.6694393,-90.8826278
"3",466389,"Lester Post Office (historical)","IA","Black Hawk",299,981,"Dunkerton",42.602763,-92.1604565
"4",466390,"Blackeville Post Office (historical)","IA","Black Hawk",302,991,"Dunkerton",42.5827635,-92.2207362
"5",466391,"The Willow Patch Post Office (historical)","IA","Des Moines",160,525,"Burlington",40.82115,-91.1001452
"6",466392,"Burris City Post Office (historical)","IA","Louisa",164,538,"Toolesboro",41.1603105,-91.040979
"7",466393,"Jollyville Post Office (historical)","IA","Lee",201,659,"Dallas City",40.6869853,-91.2495933
"8",466394,"Browning Post Office (historical)","IA","Carroll",347,1138,"Carroll NE",42.1880395,-94.7544266
"9",466395,"Moorhead Post Office (historical)","IA","Monona",342,1122,"Moorhead",41.9210993,-95.8575087
"10",466396,"Soldier Post Office (historical)","IA","Monona",358,1175,"Moorhead",41.9788774,-95.767507
"11",466397,"Belvidere Post Office (historical)","IA","Monona",366,1201,"Moorhead NW",41.9988769,-95.9294544
"12",466398,"Blenco Post Office (historical)","IA","Monona",317,1040,"Blencoe",41.9369323,-96.0905701
"13",466399,"Saint Clair Post Office (historical)","IA","Monona",365,1197,"Ute",42.0244331,-95.7302838
"14",466400,"Arcola Post Office (historical)","IA","Monona",430,1411,"Kingsley NW",42.7174901,-95.9775178
"15",466401,"Ticonic Post Office (historical)","IA","Monona",327,1073,"Smithland",42.1536007,-95.9580663
"16",466402,"Grant Center Post Office (historical)","IA","Monona",322,1056,"Smithland",42.1536008,-95.9997339
"17",466403,"Maxfield Post Office (historical)","IA","Bremer",309,1014,"Denver",42.686372,-92.29907
"18",466404,"Grove Hill Post Office (historical)","IA","Bremer",301,988,"Readlyn",42.6933168,-92.1404551
"19",466405,"Nautrille Post Office (historical)","IA","Black Hawk",291,955,"Denver",42.6349835,-92.3576834
"20",466406,"Oran Post Office (historical)","IA","Fayette",326,1070,"Oelwein",42.6738728,-91.983229
"21",466407,"Seaton Post Office (historical)","IA","Fayette",345,1132,"Stanley",42.7458162,-91.8198873
"22",466408,"Scott Center Post Office (historical)","IA","Fayette",361,1184,"Stanley",42.6905391,-91.8246105
"23",466409,"Putnam Post Office (historical)","IA","Fayette",339,1112,"Arlington",42.6599839,-91.704882
"24",466410,"Riverview Post Office (historical)","IA","Lyon",450,1476,"Little Rock",43.4277472,-95.8997415
"25",466411,"Willida Post Office (historical)","IA","Lyon",443,1453,"Little Rock",43.3810823,-95.9022413
"26",466412,"Ocheyedan Post Office (historical)","IA","Osceola",475,1558,"Ocheyedan",43.4308002,-95.5494529
"27",466413,"Austin Post Office (historical)","IA","Dickinson",447,1467,"Lake Park",43.4449645,-95.3161113
"28",466414,"Emmet Post Office (historical)","IA","Emmet",418,1371,"Estherville",43.460236,-94.8427649
"29",466415,"Iowa Lake Post Office (historical)","IA","Emmet",377,1237,"Armstrong",43.4771787,-94.452196
"30",466416,"Swea Post Office (historical)","IA","Kossuth",365,1197,"Swea City",43.4241244,-94.3710816
"31",466417,"Silver Lake Post Office (historical)","IA","Worth",391,1283,"Bristol",43.4527331,-93.4165982
"32",466418,"Little Cedar Post Office (historical)","IA","Mitchell",359,1178,"Little Cedar",43.3869142,-92.7224099
"33",466419,"Wentworth Post Office (historical)","IA","Mitchell",397,1302,"McIntire",43.4388559,-92.5735127
"34",466420,"Clear Creek Post Office (historical)","IA","Allamakee",204,669,"Waukon NW",43.4388622,-91.4204157
"35",466421,"French Creek Post Office (historical)","IA","Allamakee",206,676,"Waukon NW",43.4085852,-91.4004149
"36",466422,"Ernest Post Office (historical)","IA","Lyon",410,1345,"George West",43.3313639,-96.085856
"37",466423,"New Bergen Post Office (historical)","IA","Emmet",387,1270,"Wallingford",43.3285703,-94.7813728
"38",466424,"Armstrong Grove Post Office (historical)","IA","Emmet",378,1240,"Seneca",43.3646815,-94.4694189
"39",466425,"Seneca Post Office (historical)","IA","Kossuth",369,1211,"Seneca",43.3319045,-94.433584
"40",466427,"Benson Grove Post Office (historical)","IA","Winnebago",383,1257,"Pilot Knob",43.3499552,-93.6213264
"41",466428,"Rock Creek Post Office (historical)","IA","Mitchell",358,1175,"Osage SW",43.2980239,-92.9588107
"42",466429,"Cardiff Post Office (historical)","IA","Mitchell",356,1168,"New Haven",43.3238605,-92.7326901
"43",466430,"Doran Post Office (historical)","IA","Mitchell",383,1257,"Riceville",43.3577466,-92.5974044
"44",466431,"Howard Center Post Office (historical)","IA","Howard",373,1224,"Cresco SW",43.3713569,-92.2198912
"45",466432,"Woodville Post Office (historical)","IA","Winneshiek",340,1115,"Freeport",43.2777523,-91.6423692
"46",466433,"Farmers Post Office (historical)","IA","Sioux",449,1473,"Fairview",43.2433158,-96.4703141
"47",466434,"Irene Post Office (historical)","IA","Sioux",373,1224,"Rock Valley",43.1710944,-96.3686406
"48",466435,"Royal Ridge Post Office (historical)","IA","Sioux",444,1457,"Hull",43.2074809,-96.2161345
"49",466436,"Summit Post Office (historical)","IA","Clay",419,1375,"Spencer",43.2110776,-95.1508291
"50",466437,"Freeman Post Office (historical)","IA","Clay",415,1362,"Dickens",43.1402445,-95.0344352
"51",466439,"Buffalo Fork Post Office (historical)","IA","Kossuth",348,1142,"Burt",43.2294065,-94.1369042
"52",466440,"Kossuth Center Post Office (historical)","IA","Kossuth",350,1148,"Burt",43.1544084,-94.1674609
"53",466441,"Ellington Post Office (historical)","IA","Hancock",369,1211,"Miller",43.2249563,-93.5643779
"54",466442,"Stillwater Post Office (historical)","IA","Mitchell",338,1109,"Floyd",43.2277497,-92.6390758
"55",466443,"Fern Valley Post Office (historical)","IA","Palo Alto",358,1175,"Cylinder",43.011913,-94.5196978
"56",466444,"Annieville Post Office (historical)","IA","Clay",418,1371,"Greenville",43.0630276,-95.1599945
"57",466445,"Willow Creek Post Office (historical)","IA","Clay",419,1375,"Royal",43.007198,-95.2724976
"58",466446,"Hatch Post Office (historical)","IA","Kossuth",380,1247,"Whittemore",43.0819109,-94.4149715
"59",466447,"Stapleton Post Office (historical)","IA","Chickasaw",323,1060,"Waucoma",43.0077539,-92.0912833
"60",466448,"New Alba Post Office (historical)","IA","Winneshiek",348,1142,"Waucoma",43.1221954,-92.0543356
"61",466449,"Eden Post Office (historical)","IA","Fayette",308,1010,"Saint Lucas",43.0235871,-91.9804466
"62",466450,"Erie Post Office (historical)","IA","O'Brien",444,1457,"Sutherland West",42.9235905,-95.5580628
"63",466451,"Douglas Centre Post Office (historical)","IA","Clay",418,1371,"Sioux Rapids",42.9458085,-95.1619386
"64",466452,"Lunni Post Office (historical)","IA","Wright",339,1112,"Renwick",42.8641357,-93.9432826
"65",466453,"Coldwater Post Office (historical)","IA","Franklin",331,1086,"Dougherty",42.8916375,-93.0501979
"66",466454,"Ingham Post Office (historical)","IA","Franklin",331,1086,"Dougherty",42.8916375,-93.0501979
"67",466455,"Poplar Grove Post Office (historical)","IA","Palo Alto",357,1171,"Plover",42.9652473,-94.5558099
"68",466456,"West Bend Post Office","IA","Palo Alto",367,1204,"West Bend",42.957469,-94.4454478
"69",466457,"Mentor Post Office (historical)","IA","Bremer",331,1086,"Fredericksburg",42.8916455,-92.2085096
"70",466458,"Bethel Post Office (historical)","IA","Fayette",315,1033,"Alpha",42.9896988,-92.0248933
"71",466459,"Windsor Post Office (historical)","IA","Fayette",345,1132,"Hawkeye",42.9833106,-91.9293337
"72",466460,"Illyria Post Office (historical)","IA","Fayette",356,1168,"Elgin",42.9027589,-91.6737651
"73",466461,"Gem Post Office (historical)","IA","Clayton",308,1010,"Gunder",42.9924829,-91.5123661
"74",466462,"Bismark Post Office (historical)","IA","Clayton",292,958,"Farmersburg",42.996651,-91.3581918
"75",466463,"Menoti Post Office (historical)","IA","Buena Vista",393,1289,"Sioux Rapids SE",42.8233097,-95.0877701
"76",466464,"Wacousta Post Office (historical)","IA","Humboldt",353,1158,"Bradgate",42.8199714,-94.3799698
"77",466465,"Park Grove Post Office (historical)","IA","Humboldt",365,1197,"Bradgate",42.7944166,-94.438028
"78",466466,"Randolph Post Office (historical)","IA","Humboldt",348,1142,"Livermore",42.7919153,-94.199406
"79",466467,"Lotts Creek Post Office (historical)","IA","Humboldt",342,1122,"Livermore",42.869692,-94.2082955
"80",466468,"Von Post Office (historical)","IA","Humboldt",351,1152,"Livermore",42.833859,-94.1488481
"81",466469,"Viona Post Office (historical)","IA","Humboldt",354,1161,"Hardy",42.8227477,-94.0285644
"82",466470,"Union Ridge Post Office (historical)","IA","Butler",349,1145,"Kanawha SE",42.7666377,-93.8382754
"83",466471,"Menzie Post Office (historical)","IA","Franklin",333,1093,"Hansell",42.7821947,-93.0910319
"84",466472,"Dayton Post Office (historical)","IA","Bremer",322,1056,"Sumner SW",42.8063699,-92.1810101
"85",466473,"Buckcreek Post Office (historical)","IA","Bremer",319,1047,"Sumner SW",42.7805373,-92.1323984
"86",466474,"Cox Creek Post Office (historical)","IA","Clayton",247,810,"Elkader",42.7658181,-91.4643068
"87",466475,"Rosbach Post Office (historical)","IA","Plymouth",421,1381,"Hinton",42.7366589,-96.3708607
"88",466476,"Pilot Rock Post Office (historical)","IA","Cherokee",352,1155,"Cherokee South",42.657207,-95.5827844
"89",466477,"Fryeburgh Post Office (historical)","IA","Wright",367,1204,"Dows West",42.7288618,-93.5582635
"90",466478,"Congress Post Office (historical)","IA","Franklin",368,1207,"Coulter",42.6574757,-93.2627027
"91",466479,"Swanton Post Office (historical)","IA","Butler",279,915,"Coster",42.6430352,-92.7126942
"92",466480,"Mill Post Office (historical)","IA","Fayette",335,1099,"Sumner",42.7727599,-92.0229518
"93",466481,"Rock Run Post Office (historical)","IA","Shelby",363,1191,"Persia",41.6138785,-95.5247257
"94",466482,"Shelby Post Office (historical)","IA","Shelby",447,1467,"Earling",41.7999879,-95.4802793
"95",466483,"Blue Point Post Office (historical)","IA","Poweshiek",296,971,"Grinnell South",41.6277749,-92.6793568
"96",466484,"Sherman Post Office (historical)","IA","Poweshiek",261,856,"Montezuma",41.5119464,-92.5646327
"97",466485,"Tyro Post Office (historical)","IA","Poweshiek",280,919,"Searsboro",41.6094411,-92.7288025
"98",466486,"Mill Grove Post Office (historical)","IA","Poweshiek",241,791,"Searsboro",41.5227776,-92.671024
"99",466487,"Danforth Post Office (historical)","IA","Johnson",250,820,"Amana",41.8488951,-91.7721222
"100",466488,"Unity Post Office (historical)","IA","Johnson",221,725,"Tiffin",41.6572368,-91.6585041
"101",466489,"Shoo Fly Post Office (historical)","IA","Johnson",199,653,"Lone Tree",41.4352998,-91.4501605
