"","company_name","mailing_address1","mailing_city","mailing_state","mailing_zip","business_phone","business_email","physical_location","zip5","coords","lat","long"
"1","AASE HAUGEN HOMES, INC.","4 OHIO STREET","DECORAH","IA","52101","563-382-3603","rose.beardmore@aasehaugen.com","POINT (-91.802838 43.302964)",52101,"(-91.802838 43.302964)",43.302964,-91.802838
"2","AMERICA'S CHOICE COMMUNITY OF RED OAK","1300 SENATE AVENUE","RED OAK","IA","51566","712-623-5259","haysacct@heartland.net","POINT (-95.21705200000001 41.026225)",51566,"(-95.21705200000001 41.026225)",41.026225,-95.217052
"3","AMERICA'S CHOICE COMMUNITY OF SIOUX CENTER","1900 SOUTH MAIN AVENUE","SIOUX CENTER","IA","51250","712-722-1525","joel.westra@ambankiowa.com","POINT (-96.175298 43.058042)",51250,"(-96.175298 43.058042)",43.058042,-96.175298
"4","AMERICAN BAPTIST HOMES OF THE MIDWEST","2104 12TH STREET","HARLAN","IA","51537","712-755-5174","jhongslo@abhomes.org","POINT (-95.325488 41.648223)",51537,"(-95.325488 41.648223)",41.648223,-95.325488
"5","ATHENS WOODS ESTATES INC","1250 HIGHWAY 175 EAST","STRATFORD","IA","50249","515-838-3000","kcarlson@agri-ed.com","POINT (-93.921577 42.267755)",50249,"(-93.921577 42.267755)",42.267755,-93.921577
"6","BARTELS LUTHERAN HOME","1922 FIFTH AVENUE NW","WAVERLY","IA","50677","319-352-4540","tbright@bartelscommunity.org","POINT (-92.49332 42.730103)",50677,"(-92.49332 42.730103)",42.730103,-92.49332
"7","BARTHELL BLUFFS, INC.","911 RIDGEWOOD DRIVE","DECORAH","IA","52101","563-382-8787","info@easternstardecorah.com","POINT (-91.776291 43.293741)",52101,"(-91.776291 43.293741)",43.293741,-91.776291
"8","BETHANY LUTHERAN HOME","7 ELLIOTT STREET","COUNCIL BLUFFS","IA","51503","","info@blhs.care","POINT (-95.836624 41.279205000000005)",51503,"(-95.836624 41.279205000000005)",41.279205,-95.836624
"9","BETHANY MANOR, INC.","212 LAFAYETTE AVENUE","STORY CITY","IA","50248","515-733-4325","office@bethanylife.org","POINT (-93.592545 42.181532)",50248,"(-93.592545 42.181532)",42.181532,-93.592545
"10","BISHOP DRUMM RETIREMENT CENTER","5837 WINWOOD DRIVE","JOHNSTON","IA","50131","515-270-1100","abraden@chilivingcomm.org","POINT (-93.700548 41.669074)",50131,"(-93.700548 41.669074)",41.669074,-93.700548
"11","BOONE REGENCY RETIREMENT","1110 SOUTH MARSHALL STREET","BOONE","IA","50036","515-432-9463","regencyboone@outlook.com","POINT (-93.878471 42.044254)",50036,"(-93.878471 42.044254)",42.044254,-93.878471
"12","BRIO OF JOHNSTON, LLC","5508 NW 88TH STREET","JOHNSTON","IA","50131","515-271-6789","lhartsook@wesleylife.org","POINT (-93.740399 41.660247)",50131,"(-93.740399 41.660247)",41.660247,-93.740399
"13","CALVIN COMMUNITY","4210 HICKMAN ROAD","DES MOINES","IA","50310","515-277-6141","ckoedam@calvincommunity.org","POINT (-93.674689 41.614917)",50310,"(-93.674689 41.614917)",41.614917,-93.674689
