"","county_number","county","city","County_FIPS","State_FIPS","fiscal_year","quarter_ending","number_of_returns","taxable_sales"
"1",1,"Adair","Greenfield","001","19",2012,2011-09-30,112,5806502
"2",1,"Adair","Adair","001","19",2012,2011-09-30,58,3113359
"3",1,"Adair","Fontanelle","001","19",2012,2011-09-30,38,1175786
"4",1,"Adair","Stuart","001","19",2012,2011-09-30,28,2760190
"5",1,"Adair","Orient","001","19",2012,2011-09-30,16,274254
"6",1,"Adair","Bridgewater","001","19",2012,2011-09-30,11,418585
"7",1,"Adair","Other","001","19",2012,2011-09-30,14,1104008
"8",2,"Adams","Corning","003","19",2012,2011-09-30,127,5621721
"9",2,"Adams","Other","003","19",2012,2011-09-30,29,1407566
"10",3,"Allamakee","Waukon","005","19",2012,2011-09-30,239,14470389
"11",3,"Allamakee","Lansing","005","19",2012,2011-09-30,85,3535844
"12",3,"Allamakee","Postville","005","19",2012,2011-09-30,81,4001094
"13",3,"Allamakee","Harpers Ferry","005","19",2012,2011-09-30,35,700714
"14",3,"Allamakee","New Albin","005","19",2012,2011-09-30,26,366699
"15",3,"Allamakee","Waterville","005","19",2012,2011-09-30,11,128147
"16",3,"Allamakee","Other","005","19",2012,2011-09-30,31,623250
"17",4,"Appanoose","Centerville","007","19",2012,2011-09-30,275,21680227
"18",4,"Appanoose","Moravia","007","19",2012,2011-09-30,51,3459657
"19",4,"Appanoose","Moulton","007","19",2012,2011-09-30,27,377052
"20",4,"Appanoose","Cincinnati","007","19",2012,2011-09-30,20,121790
"21",4,"Appanoose","Mystic","007","19",2012,2011-09-30,12,103398
"22",4,"Appanoose","Other","007","19",2012,2011-09-30,27,208825
"23",5,"Audubon","Audubon","009","19",2012,2011-09-30,152,7321038
"24",5,"Audubon","Exira","009","19",2012,2011-09-30,43,933913
"25",5,"Audubon","Other","009","19",2012,2011-09-30,28,696932
"26",6,"Benton","Vinton","011","19",2012,2011-09-30,214,12539631
"27",6,"Benton","Belle Plaine","011","19",2012,2011-09-30,100,5033654
"28",6,"Benton","Atkins","011","19",2012,2011-09-30,47,2289639
"29",6,"Benton","Blairstown","011","19",2012,2011-09-30,45,2484032
"30",6,"Benton","Shellsburg","011","19",2012,2011-09-30,44,1458932
"31",6,"Benton","Van Horne","011","19",2012,2011-09-30,33,1067458
"32",6,"Benton","Keystone","011","19",2012,2011-09-30,31,1281613
"33",6,"Benton","Urbana","011","19",2012,2011-09-30,29,3276712
"34",6,"Benton","Newhall","011","19",2012,2011-09-30,26,908691
"35",6,"Benton","Norway","011","19",2012,2011-09-30,24,546966
"36",6,"Benton","Walford","011","19",2012,2011-09-30,22,481310
"37",6,"Benton","Other","011","19",2012,2011-09-30,41,706989
"38",7,"Black Hawk","Waterloo","013","19",2012,2011-09-30,1613,277217082
"39",7,"Black Hawk","Cedar Falls","013","19",2012,2011-09-30,915,135440656
"40",7,"Black Hawk","Evansdale","013","19",2012,2011-09-30,85,5846942
"41",7,"Black Hawk","Laporte City","013","19",2012,2011-09-30,83,2296745
