"","fiscalyear","aea","dist","de_district","district_name","amount","revenues_per_pupil"
"1",2017,1,135,135,"Allamakee",27595125,24307
"2",2017,1,1080,1080,"Central",9961549,22222
"3",2017,1,1638,1638,"Decorah Community",33143994,23890
"4",2017,1,1863,1863,"Dubuque",212117471,20037
"5",2017,1,1972,1972,"Eastern Allamakee",6877895,19854
"6",2017,1,1989,1989,"Edgewood-Colesburg",9635059,24087
"7",2017,1,2763,2763,"Clayton Ridge",12967947,22073
"8",2017,1,3029,3029,"Howard-Winneshiek",25639648,21409
"9",2017,1,4043,4043,"Maquoketa Valley",21692791,30947
"10",2017,1,4419,4419,"MFL MarMac",15683478,20044
"11",2017,1,4662,4662,"New Hampton",27556817,28065
"12",2017,1,4774,4774,"North Fayette",20366958,25593
"13",2017,1,4787,4787,"North Winneshiek",5117503,17205
"14",2017,1,4869,4869,"Oelwein",28576915,21762
"15",2017,1,5310,5310,"Postville",14227903,21101
"16",2017,1,5508,5508,"Riceville",8069180,26094
"17",2017,1,6100,6100,"South Winneshiek",11013563,20171
"18",2017,1,6175,6175,"Starmont",13363458,21541
"19",2017,1,6509,6509,"Turkey Valley",8607364,25226
"20",2017,1,6591,6591,"Valley",9931570,26060
"21",2017,1,6943,6943,"West Central",6031079,21758
"22",2017,1,6950,6950,"West Delaware County",28805429,19138
"23",2017,1,6961,6961,"Western Dubuque",78316507,25671
"24",2017,5,72,72,"Albert City-Truesdale",5217965,25832
"25",2017,5,126,126,"Algona",33163143,25058
"26",2017,5,171,171,"Alta",13743489,25745
"27",2017,5,333,333,"North Union",12006775,28587
"28",2017,5,1206,1206,"Clarion-Goldfield-Dows",20030011,21061
"29",2017,5,1218,1218,"Clay Central-Everly",9394001,25737
"30",2017,5,1944,1944,"Eagle Grove",17698092,21102
"31",2017,5,2088,2088,"Emmetsburg",15172936,22568
"32",2017,5,2124,2124,"Estherville Lincoln",33629316,24426
"33",2017,5,2313,2313,"Fort Dodge",141489401,37561
"34",2017,5,2493,2493,"Gilmore City-Bradgate",3385333,31055
"35",2017,5,2556,2556,"Graettinger-Terril",7705570,21703
"36",2017,5,2846,2846,"Harris-Lake Park",9610613,29175
"37",2017,5,3060,3060,"Humboldt",28315952,23405
"38",2017,5,3195,3195,"Greene County",26717790,20569
"39",2017,5,3537,3537,"Laurens-Marathon",7749888,24503
"40",2017,5,3897,3897,"LuVerne",4348390,26825
"41",2017,5,4023,4023,"Manson Northwest Webster",16102514,25001
"42",2017,5,4644,4644,"Newell-Fonda",9830338,21037
"43",2017,5,4775,4775,"Northeast Hamilton",7154394,37067
"44",2017,5,4778,4778,"North Kossuth",6448170,24188
"45",2017,5,4860,4860,"Odebolt-Arthur",8097253,23878
"46",2017,5,4890,4890,"Okoboji",17537128,18279
"47",2017,5,5139,5139,"Paton-Churdan",4945376,24979
"48",2017,5,5283,5283,"Pocahontas Area",20525500,28627
"49",2017,5,5323,5325,"Prairie Valley",13215685,23292
"50",2017,5,5724,5724,"Ruthven-Ayrshire",6474558,26315
"51",2017,5,5823,5823,"Schaller-Crestland",9906443,28196
"52",2017,5,6048,6035,"Sioux Central",13930972,28873
"53",2017,5,6091,6091,"South Central Calhoun",22189268,24096
"54",2017,5,6095,6095,"South Hamilton",23919412,36724
"55",2017,5,6096,6096,"Southeast Webster Grand",15186120,28352
"56",2017,5,6102,6102,"Spencer",43963357,23447
"57",2017,5,6120,6120,"Spirit Lake",22887737,19551
"58",2017,5,6219,6219,"Storm Lake",58167656,25054
"59",2017,5,6246,6246,"Stratford",5047563,29741
"60",2017,5,6516,6516,"Twin Rivers",5802148,35813
"61",2017,5,6741,6741,"East Sac County",16858373,18739
"62",2017,5,6867,6867,"Webster City",24995177,16345
"63",2017,5,6921,6921,"West Bend-Mallard",9620492,29962
"64",2017,7,9,9,"AGWSR",13825129,22102
"65",2017,7,108,108,"Alden",6115006,23748
"66",2017,7,153,153,"North Butler",11894440,19759
"67",2017,7,279,279,"Aplington-Parkersburg",20442193,24271
"68",2017,7,540,540,"BCLUW",12984097,22719
"69",2017,7,594,594,"Belmond-Klemme",17519495,21866
"70",2017,7,819,819,"West Hancock",12537554,20825
"71",2017,7,846,846,"Brooklyn-Guernsey-Malcom",12830229,24026
"72",2017,7,873,873,"North Iowa",9960047,20714
"73",2017,7,916,916,"CAL",5868114,22474
"74",2017,7,1044,1044,"Cedar Falls",142918883,28287
