"","county_number","county","aea","district_nces_code","district_number","district_name","school_nces_code","district_school_id","school_name","grade_start","grade_end","administrator","administrator_title","mailing_address","po_box","mailing_city","mailing_zip_code","phone_number","fax_number","email_address","physical_location","zip5","coords","public","type","geometry"
"1",86,"Tama",7,1900060,2682,"GMG  Comm School District",190006000179,172,"GMG Secondary School",7,12,"Nathan Kleinmeyer","Principal","306 Park Street","","Garwin","50632-9730",6414992005,6414992552,"nkleinmeyer@garwin.k12.ia.us","POINT (-92.67465500000002 42.09468)","50632","(-92.67465500000002 42.09468)",TRUE,"High",c(-92.674655, 42.09468)
"2",86,"Tama",7,1900060,2682,"GMG  Comm School District",190006000179,172,"GMG Secondary School",7,12,"Nathan Kleinmeyer","Principal","306 Park Street","","Garwin","50632-9730",6414992005,6414992552,"nkleinmeyer@garwin.k12.ia.us","POINT (-92.67465500000002 42.09468)","50632","(-92.67465500000002 42.09468)",TRUE,"Middle",c(-92.674655, 42.09468)
"3",82,"Scott",9,1908580,1611,"Davenport  Comm School District",190858000479,526,"McKinley Elementary School",0,5,"Aaron Vincent","Principal","1716 Kenwood Ave","","Davenport","52803",5637236800,5634455977,"vincenta@mail.davenport.k12.ia.us","POINT (-90.535945 41.536973)","52803","(-90.535945 41.536973)",TRUE,"Elementary",c(-90.535945, 41.536973)
"4",94,"Webster",5,1911820,2313,"Fort Dodge  Comm School District",191182000723,459,"Feelhaver Elementary School",0,4,"Nancy Cross","Principal","1300 14th Ave N","","Fort Dodge","50501",5155745680,5155745513,"ncross@fdschools.org","POINT (-94.185576 42.521102)","50501","(-94.185576 42.521102)",TRUE,"Elementary",c(-94.185576, 42.521102)
"5",77,"Polk",11,1928680,6579,"Urbandale  Comm School District",192868002069,448,"Valerius Elementary School",0,5,"Meredith Mauro","Principal","3305 92nd Street","","Urbandale","50322-4092",5154576500,5154576504,"maurom@urbandaleschools.com","POINT (-93.743666 41.625371)","50322","(-93.743666 41.625371)",TRUE,"Elementary",c(-93.743666, 41.625371)
"6",97,"Woodbury",12,1926400,6039,"Sioux City  Comm School District",NA,423,"Clark Early Childhood Center",0,0,"Amy Denney","Principal","4315 Hamilton Blvd","","Sioux City","51104",7122397030,7122244021,"dennya@live.siouxcityschools.com","POINT (-96.407443 42.54413)","51104","(-96.407443 42.54413)",TRUE,"Elementary",c(-96.407443, 42.54413)
"7",77,"Polk",11,1915450,3231,"Johnston  Comm School District",191545000478,415,"Beaver Creek Elem School",0,5,"Eric Toot","Principal","8701 Lyndhurst","PO Box 10","Johnston","50131",5152786228,5152781049,"etoot@johnston.k12.ia.us","POINT (-93.73644700000001 41.678766)","50131","(-93.73644700000001 41.678766)",TRUE,"Elementary",c(-93.736447, 41.678766)
"8",85,"Story",11,1903540,225,"Ames  Comm School District",190354000053,440,"Fellows Elementary School",0,5,"Brandon Schrauth","Principal","1235 20th St","","Ames","50010",5152393765,5152393837,"brandon.schrauth@ames.k12.ia.us","POINT (-93.626421 42.042006)","50010","(-93.626421 42.042006)",TRUE,"Elementary",c(-93.626421, 42.042006)
"9",76,"Pocahontas",5,1923190,5283,"Pocahontas Area  Comm School District",192319001372,409,"Pocahontas Area Elementary School",0,6,"Aaron Davidson","Principal","202 1st Ave SW","","Pocahontas","50574",7123354642,7123353627,"adavidson@pocahontas.k12.ia.us","POINT (-94.672859 42.731585)","50574","(-94.672859 42.731585)",TRUE,"Elementary",c(-94.672859, 42.731585)
"10",76,"Pocahontas",5,NA,5283,"",NA,8102,"Pocahontas Catholic Grade School",0,5,"Terry Eisenbarth","Principal","305 SW 3rd","","Pocahontas","50574",7123353603,7123353603,"terryeisenbarth@pokycatholic.org","POINT (-94.662307 42.732611)","50574","(-94.662307 42.732611)",TRUE,"Elementary",c(-94.662307, 42.732611)
